Original,Translate_IT_1
"Io vidi già cavalier muover campo, e cominciare stormo e far lor mostra, e talvolta partir per loro scampo","Io vidi in altre occasioni dei cavalieri mettersi in marcia, attaccare battaglia e sfilare in parata, e tal-volta darsi anche alla fuga"
" corridor vidi per la terra vostra, o Aretini, e vidi gir gualdane, fedir torneamenti e correr giostra"," Vidi cavalieri cavalcare per la vostra terra, o aretini, e vidi fare incursioni, combattere ai tornei e correre la giostra ora al suono delle trombe, ora a quello delle campane, ora al suono dei tamburi e ora ai segnali dai castelli, ora al suono di strumenti nostrani e ora a quello di stru-menti stranieri"
" quando con trombe, e quando con campane, con tamburi e con cenni di castella, e con cose nostrali e con istrane"," Ma non vidi mai cavalieri né fanti muoversi al suono di un così bizzarro strumento a fiato, né una nave partire per un segnale simile ve-nuto da terra o dal cielo"
" né già con sì diversa cennamella cavalier vidi muover né pedoni, né nave a segno di terra o di stella", Noi andavamo con i dieci diavoli
 Noi andavam con li diece demoni," Ahi, che feroce compagnia"
 Ahi fiera compagnia, Ma in chiesa si va con i santi e in taver-na con i ghiottoni
" ma ne la chiesa coi santi, e in taverna coi ghiottoni"," La mia attenzione era rivolta sol-tanto alla pece, per vedere tutto il contenuto della bolgia e tutta la gente (=i barattieri) che vi era bru-ciata dentro"
" Pur a la pegola era la mia 'ntesa, per veder de la bolgia ogne contegno e de la gente ch'entro v'era incesa"," Come i delfini, quando con l’arco della schiena segnalano ai marinai di prepararsi a salvare la loro nave dalla tempesta in arrivo; così talvolta, per alleviare la loro pena, alcuni peccatori mostra-vano il dorso fuori della pece e poi si immergevano più veloci di un fulmine"
" Come i dalfini, quando fanno segno a' marinar con l'arco de la schiena che s'argomentin di campar lor legno, talor così, ad alleggiar la pena, mostrav'alcun de' peccatori 'l dosso e nascondea in men che non balena"," E, come i ranocchi stanno sull’acqua di un fosso con il muso fuori e celano le zampe e il resto del corpo, così stavano i peccatori da ogni parte"
" E come a l'orlo de l'acqua d'un fosso stanno i ranocchi pur col muso fuori, sì che celano i piedi e l'altro grosso, sì stavan d'ogne parte i peccatori"," Ma, non appena si avvicinava Barba-riccia, si ritiravano sotto la pece bollente"
" ma come s'appressava Barbariccia, così si ritraén sotto i bollori"," Ciàmpolo di Navarra Io vidi, e ancora il mio cuore prova raccapriccio, un dannato che esitava, come quando una rana rimane in superficie e un’altra s’immerge"
" I' vidi, e anco il cor me n'accapriccia, uno aspettar così, com'elli 'ncontra ch'una rana rimane e l'altra spiccia"," Graffiacane, che gli era proprio di fronte, lo uncinò per i capelli im-pegolati e lo tirò su come se fosse una lontra"
" e Graffiacan, che li era più di contra, li arruncigliò le 'mpegolate chiome e trassel sù, che mi parve una lontra"," Io sa-pevo già il nome di tutti i demoni, perché li avevo annotati quando furono scelti, e feci attenzione quando furono chiamati"
