Original,Translate_IT_1
"Godi, Fiorenza, poi che se' sì grande che per mare e per terra batti l'ali, e per lo 'nferno tuo nome si spande","Godi, o Firenze, poiché sei così grande, che per ma-re e per terra batti le ali e per l’inferno il tuo nome si spande"
" Tra li ladron trovai cinque cotali tuoi cittadini onde mi ven vergogna, e tu in grande orranza non ne sali"," Fra i ladri trovai cinque tuoi cittadini di buona famiglia, per i quali mi sentii ricoperto di vergogna e che certamente non ti fanno grande ono-re"
" Ma se presso al mattin del ver si sogna, tu sentirai, di qua da picciol tempo, di quel che Prato, non ch'altri, t'agogna"," Ma, se i sogni del mattino son veritieri, tu prove-rai tra poco le sventure che Prato e le altre città ti augurano"
" E se già fosse, non saria per tempo"," E, se ciò fosse già accaduto, non sarebbe troppo presto"
" Così foss'ei, da che pur esser dee"," Oh, fosse già accaduto, se proprio de-ve accadere, perché quanto più invecchio tanto più le tue sventure mi faranno soffrire"
" ché più mi graverà, com' più m'attempo"," Noi partimmo di là: la mia guida risalì per le scale di roccia, che prima ci avevano fatto scendere, e trasse anche me"
" Noi ci partimmo, e su per le scalee che n'avea fatto iborni a scender pria, rimontò 'l duca mio e trasse mee"," Proseguendo la via solitaria, tra le schegge e tra le rocce dell’argine il piede non riu-sciva ad avanzare senza l’aiuto della mano"
" e proseguendo la solinga via, tra le schegge e tra ' rocchi de lo scoglio lo piè sanza la man non si spedia"," Allora mi addolorai, e ancora mi addoloro, quando ricordo ciò che vidi, e pongo freno all’ingegno più di quanto non faccia solitamente, affinché non corra senza esser guidato dal suo valore"
" Allor mi dolsi, e ora mi ridoglio quando drizzo la mente a ciò ch'io vidi, e più lo 'ngegno affreno ch'i' non soglio, perché non corra che virtù nol guidi"," Così, se la mia buona stella o una cosa migliore (=la grazia divina) mi hanno dato il ben dell’intelletto, io non ne farò un cattivo uso"
" sì che, se stella bona o miglior cosa m'ha dato 'l ben, ch'io stessi nol m'invidi"," La bolgia piena di fiammelle dei fraudo-lenti Il contadino, che si riposa sulla collina quando il So-le che illumina la terra ci tiene meno nascosta la sua faccia (=d’estate) e nel momento in cui la mosca cede il posto alla zanzara (=al crepuscolo), vede giù per la valle, forse là dove vendemmia ed ara, tante lucciole quante sono le fiammelle che rendevano tutta splendente l’ottava bolgia"
" Quante 'l villan ch'al poggio si riposa, nel tempo che colui che 'l mondo schiara la faccia sua a noi tien meno ascosa, come la mosca cede a la zanzara, vede lucciole giù per la vallea, forse colà dov'e' vendemmia e ara: di tante fiamme tutta risplendea l'ottava bolgia, sì com'io m'accorsi tosto che fui là 've 'l fondo parea", Di ciò mi accorsi non appena fui sull’arco di ponte da cui appariva il fondo della bolgia
" E qual colui che si vengiò con li orsi vide 'l carro d'Elia al dipartire, quando i cavalli al cielo erti levorsi, che nol potea sì con li occhi seguire, ch'el vedesse altro che la fiamma sola, sì come nuvoletta, in sù salire: tal si move ciascuna per la gola del fosso, ché nessuna mostra 'l furto, e ogne fiamma un peccatore invola"," E come Eliseo, che fu vendicato con gli orsi, vide partire il carro d’Elia quando i ca-valli si alzarono diretti verso il cielo, e non poteva seguirlo con gli occhi ma vedeva soltanto la fiamma salire in alto, simile ad una nuvoletta; allo stesso modo si muove ciascuna fiamma per lo stretto spazio della bolgia"
