Original,Translate_IT_1
Ora cen porta l'un de' duri margini,Ora ci porta uno degli argini di pietra del Flegetón-te
" e 'l fummo del ruscel di sopra aduggia, sì che dal foco salva l'acqua e li argini"," Il vapore, che si solleva dal fiumicello, fa ombra sopra di essi e salva l’acqua e gli argini dalla piog-gia di fuoco"
" Quali Fiamminghi tra Guizzante e Bruggia, temendo 'l fiotto che 'nver' lor s'avventa, fanno lo schermo perché 'l mar si fuggia"," Come i fiamminghi tra Wissant e Bru-ges, temendo l’alta marea che si scaglia con violen-za contro i loro lidi, costruiscono il riparo delle di-ghe, per respingere il mare; e come i padovani in-nalzano argini lungo il fiume Brenta, per riparare dalle inondazioni le loro città e i loro borghi, prima che la Carinzia senta il caldo, che provoca le piene del fiume; a somiglianza di queste dighe erano fatti gli argini di quel fiumicello, anche se il costruttore, chiunque sia stato (=Dio), non li fece né così alti né così grandi"
" e quali Padoan lungo la Brenta, per difender lor ville e lor castelli, anzi che Carentana il caldo senta: a tale imagine eran fatti quelli, tutto che né sì alti né sì grossi, qual che si fosse, lo maestro félli"," Ci eravamo già tanto allontanati dalla selva dei sui-cidi, che io non avrei visto dov’era, se mi fossi vol-tato indietro, quando incontrammo una schiera di anime, che venivano lungo l’argine"
" Già eravam da la selva rimossi tanto, ch'i' non avrei visto dov'era, perch'io in dietro rivolto mi fossi, quando incontrammo d'anime una schiera che venian lungo l'argine, e ciascuna ci riguardava come suol da sera guardare uno altro sotto nuova luna"," Ognuna di esse ci guardava come di solito ci si guarda la sera del novilunio: aguzzavano gli occhi verso di noi, come fa il vecchio sarto con la cruna dell’ago"
 e sì ver' noi aguzzavan le ciglia come 'l vecchio sartor fa ne la cruna," Brunetto Latini, l’antico maestro Guardato così da tale schiera, fui riconosciuto da un dannato, che mi prese per un lembo della veste e gridò: «Che sorpresa"
" Così adocchiato da cotal famiglia, fui conosciuto da un, che mi prese per lo lembo e gridò: “Qual maraviglia","» Quando stese il braccio verso di me, io fissai gli oc-chi nel suo volto devastato dal fuoco, ma il suo viso sfigurato non m’impedì di riconoscerlo"
”," E, puntando la mano verso la sua faccia, risposi: «Voi siete qui, ser Brunetto?» Ed egli: «O figlio mio, non ti dispiaccia se Brunetto Latini ritorna un po’ indietro con te e lascia andare la fila dei suoi compagni"
" E io, quando 'l suo braccio a me distese, ficcaï li occhi per lo cotto aspetto, sì che 'l viso abbrusciato non difese la conoscenza süa al mio 'ntelletto","» Io gli dissi: «Per quel che posso, vi prego di accompagnarmi"
" e chinando la mano a la sua faccia, rispuosi: “Siete voi qui, ser Brunetto?”"," E, se volete che io mi fermi con voi, lo farò, se lo per-mette costui, che sto seguendo»"
" E quelli: “O figliuol mio, non ti dispiaccia se Brunetto Latino un poco teco ritorna 'n dietro e lascia andar la traccia”"," «O figlio» disse, «chiunque di questa schiera si arre-sta un momento, giace poi per terra cent’anni senza potersi riparare con le mani dalle fiamme, quando il fuoco lo ferisce"
" I' dissi lui: “Quanto posso, ven preco"," Perciò continua a camminare: io ti seguirò a lato e poi raggiungerò la mia compagnia, che va piangendo le sue pene eterne…» Io non osavo scendere dalla strada per andare al suo fianco, ma tenevo il capo chino come uno che cam-mini con un comportamento riverente"
" e se volete che con voi m'asseggia, faròl, se piace a costui che vo seco”"," Egli comin-ciò: «Quale caso o quale grazia divina ti conduce qua giù prima della morte? E chi è costui, che ti mostra il cammino?» «Lassù nella vita serena» gli risposi brevemente, «mi smarrii in una valle prima di aver raggiunto la metà della mia vita (=35 anni)"
" “O figliuol”, disse, “qual di questa greggia s'arresta punto, giace poi cent'anni sanz'arrostarsi quando 'l foco il feggia", Soltanto ieri mattina le volsi le spalle
 Però va oltre: i' ti verrò a' panni," Mi apparve costui, mentre ritorna-vo in essa, e mi riconduce a casa per questa via»"
" e poi rigiugnerò la mia masnada, che va piangendo i suoi etterni danni”"," Le predizioni di Brunetto sul futuro di Dante Ed egli a me: «Se tu segui la tua stella, non puoi mancare di otte-nere fama e gloria, se ho visto bene quando ero nella vita bella"
 Io non osava scender de la strada per andar par di lui," E, se io non fossi morto così presto, ve-dendo il cielo così benigno nei tuoi riguardi, avrei sostenuto la tua opera di moralista e di cittadino"
 ma 'l capo chino tenea com'uom che reverente vada," Ma quel popolo ingrato e malvagio, che anticamente di-scese da Fiesole e che è ancor ruvido e duro come il monte e la roccia, ti diventerà nemico perché ti comporti bene"
 El cominciò: “Qual fortuna o destino anzi l'ultimo dì qua giù ti mena? e chi è questi che mostra 'l cammino?”," Ciò è comprensibile, perché non può succedere che tra gli aspri sorbi dia frutti il dolce fico"
" “Là sù di sopra, in la vita serena”, rispuos'io lui, “mi smarri' in una valle, avanti che l'età mia fosse piena"," Un vecchio proverbio nel mondo li chiama cie-chi: è gente avara, invidiosa e superba"
" Pur ier mattina le volsi le spalle: questi m'apparve, tornand'ïo in quella, e reducemi a ca per questo calle”", Tiènti pulito dai loro costumi
" Ed elli a me: “Se tu segui tua stella, non puoi fallire a glorïoso porto, se ben m'accorsi ne la vita bella"," La tua fortuna ti riserva tanto ono-re, che ambedue le fazioni vorranno farti a pezzi, ma l’erba sarà lontana dal loro bécco e tu non cadrai nelle loro mani"
" e s'io non fossi sì per tempo morto, veggendo il cielo a te così benigno, dato t'avrei a l'opera conforto"," Le bestie venute da Fiesole si sbra-nino pure fra loro, ma non tocchino la pianta sana, se nel loro letame ne cresce ancora qualcuna, nella quale riviva la santa discendenza di quei Romani che vi rimasero, quando fu fondato quel nido pieno di malizia"
