Original,Translate_IT_1
"Poi che la carità del natio loco mi strinse, raunai le fronde sparte e rende'le a colui, ch'era già fioco","Poiché l’amore per Firenze, il mio luogo natale, mi strinse il cuore, raccolsi le foglie sparse e le deposi accanto al cespuglio, che ormai taceva"
" Indi venimmo al fine ove si parte lo secondo giron dal terzo, e dove si vede di giustizia orribil arte"," Quindi ve-nimmo al confine, dove il secondo girone si divide dal terzo e dove si vede la terribile arte della giusti-zia divina"
" A ben manifestar le cose nove, dico che arrivammo ad una landa che dal suo letto ogne pianta rimove"," Per spiegare bene la nuova situazione, dico che arrivammo in una pianura, che non lasciava attecchire alcuna pianta"
" La dolorosa selva l'è ghirlanda intorno, come 'l fosso tristo ad essa"," Essa era circondata dalla selva dolorosa dei suicidi, la quale, a sua volta, era circondata dal tristo Flegetónte"
 quivi fermammo i passi a randa a randa," Ci fermammo qui, proprio sul margine della pianura"
" Lo spazzo era una rena arida e spessa, non d'altra foggia fatta che colei che fu da' piè di Caton già soppressa"," Il suolo era una sabbia arida e compatta, non diversa da quella già calpestata in Libia dai piedi di Catone di Utica"
" O vendetta di Dio, quanto tu dei esser temuta da ciascun che legge ciò che fu manifesto a li occhi mei"," O giusta vendetta di Dio, quanto devi essere temuta da ognuno che legge ciò che osservai con i miei oc-chi"
" D'anime nude vidi molte gregge che piangean tutte assai miseramente, e parea posta lor diversa legge"," Vidi molte schiere di anime ignude, che piangevano miserevolmente e apparivano sottoposte a punizioni diverse"
" Supin giacea in terra alcuna gente, alcuna si sedea tutta raccolta, e altra andava continüamente"," I bestemmiatori giacevano supini a terra, gli usurai sedevano tutti rannicchiati, i sodomiti cam-minavano senza mai fermarsi"
" Quella che giva 'ntorno era più molta, e quella men che giacëa al tormento, ma più al duolo avea la lingua sciolta"," Quelli che cammina-vano erano più numerosi, quelli che giacevano per terra erano meno numerosi, ma avevano la lingua più sciolta al dolore"
" Sovra tutto 'l sabbion, d'un cader lento, piovean di foco dilatate falde, come di neve in alpe sanza vento"," Sopra tutta la distesa di sabbia, con un cader lento, piovevano ampie falde di fuoco, come le falde di neve cadono sui monti quando non c’è vento"
" Quali Alessandro in quelle parti calde d'Indïa vide sopra 'l süo stuolo fiamme cadere infino a terra salde, per ch'ei provide a scalpitar lo suolo con le sue schiere, acciò che lo vapore mei si stingueva mentre ch'era solo: tale scendeva l'etternale ardore"," Alessandro Magno nelle parti calde dell’India vide cadere sopra il suo esercito fiamme compatte sino a terra, perciò fece calpestare il suolo dai soldati, per spegnere il fuoco più facilmente, mentre era appena caduto"
" onde la rena s'accendea, com'esca sotto focile, a doppiar lo dolore", Allo stesso modo scende-va il fuoco eterno: incendiava la sabbia come l’esca sotto la pietra focaia e raddoppiava il dolore a quel-le ombre
" Sanza riposo mai era la tresca de le misere mani, or quindi or quinci escotendo da sé l'arsura fresca"," Le loro mani miserevoli si muovevano freneticamente, senza mai fermarsi: ora qui ora lì si scuotevano di dosso le nuove fiamme che cadevano senza tregua"
