Original,Translate_IT_1
"Al tornar de la mente, che si chiuse dinanzi a la pietà d'i due cognati, che di trestizia tutto mi confuse, novi tormenti e novi tormentati mi veggio intorno, come ch'io mi mova e ch'io mi volga, e come che io guati","Quando ripresi i sensi, che avevo perduto davanti al pianto dei due cognati, che mi aveva tutto riempito di tristezza, nuovi tormenti e nuovi tormentati mi vedo intorno, dovunque mi muova, mi volga e fissi gli occhi"
" Io sono al terzo cerchio, de la piova etterna, maladetta, fredda e greve"," Sono disceso nel terzo cerchio, quello della pioggia eterna, maledetta, fredda e fitta, che non cambia mai ritmo né qualità"
 regola e qualità mai non l'è nova," Grandine grossa, acqua sporca e neve si riversano per l’aria tenebrosa"
" Grandine grossa, acqua tinta e neve per l'aere tenebroso si riversa"," Puzza la ter-ra, che riceve tutto questo"
 pute la terra che questo riceve," Cèrbero, fiera mostruosa e crudele, con tre gole latra come un cane sopra la gente, che qui è immersa nel fango"
" Cerbero, fiera crudele e diversa, con tre gole caninamente latra sovra la gente che quivi è sommersa"," Ha gli occhi ros-si di sangue, la barba unta e nera, il ventre largo, le mani unghiate"
" Li occhi ha vermigli, la barba unta e atra, e 'l ventre largo, e unghiate le mani"," Graffia, scortica e squarta gli spiriti, che la pioggia fa urlare come cani"
 graffia li spirti ed iscoia ed isquatra, Con un lato del corpo quegli infelici scellerati cercano di fare schermo all’altro lato e si voltano spesso per ridurre i tormenti
 Urlar li fa la pioggia come cani," Quando ci vide, Cèrbero, il grande verme ripugnante, aprì le bocche e ci mostrò le zanne: non aveva parte del corpo che tenesse ferma"
 de l'un de' lati fanno a l'altro schermo," La mia guida stese le mani, prese due pugni di terra e li get-tò dentro a quelle gole fameliche"
 volgonsi spesso i miseri profani," Come quel cane che, abbaiando, agogna il pasto e si quieta dopo che lo morde, perché brama e si affatica soltanto a divo-rarlo, così si fecero quelle facce sudice del demonio Cèrbero, che stordisce a tal punto quelle anime, che esse vorrebbero essere sorde"
" Quando ci scorse Cerbero, il gran vermo, le bocche aperse e mostrocci le sanne"," Ciacco e la compassione di Dante Noi passavamo, calpestando le ombre, che erano fiaccate dalla pioggia insistente, e ponevamo i piedi sopra i loro corpi vani, che sembravano corpi veri"
 non avea membro che tenesse fermo," Giacevano tutte per terra, tranne una, che si levò a sedere, non appena ci vide passare davanti: «O tu che sei condotto per questo inferno» mi disse, «riconόscimi, se puoi"
" E 'l duca mio distese le sue spanne, prese la terra, e con piene le pugna la gittò dentro a le bramose canne", Tu nascesti prima che io fossi morto
" Qual è quel cane ch'abbaiando agogna, e si racqueta poi che 'l pasto morde, ché solo a divorarlo intende e pugna, cotai si fecer quelle facce lorde de lo demonio Cerbero, che 'ntrona l'anime sì, ch'esser vorrebber sorde","» Ed io a lei: «L’angoscia, che ti àltera i lineamenti, forse ti leva dalla mia memoria, perché mi pare di non averti mai visto"
" Noi passavam su per l'ombre che adona la greve pioggia, e ponavam le piante sovra lor vanità che par persona"," Ma dimmi chi sei tu, che sei disteso in un luo-go così doloroso e sottoposto a una tale pena, che è superata da altre, ma che è spiacevole come nessu-na…» Ed egli a me: «La tua città, che è così piena d’invidia da far tra-boccare il sacco, mi ebbe con sé nella vita serena"
" Elle giacean per terra tutte quante, fuor d'una ch'a seder si levò, ratto ch'ella ci vide passarsi davante"," Voi cittadini mi chiamaste Ciacco e, come tu vedi, ora per la dannosa colpa della gola mi fiacco sotto la pioggia"
" “O tu che se' per questo 'nferno tratto”, mi disse, “riconoscimi, se sai: tu fosti, prima ch'io disfatto, fatto”"," Io non sono però l’unica anima trista, per-ché tutte queste anime subiscono la stessa pena per la stessa colpa»"
" E io a lui: “L'angoscia che tu hai forse ti tira fuor de la mia mente, sì che non par ch'i' ti vedessi mai", E tacque
" Ma dimmi chi tu se' che 'n sì dolente loco se' messo, e hai sì fatta pena, che, s'altra è maggio, nulla è sì spiacente”"," Tre domande sul futuro di Firenze Io gli risposi: «O Ciacco, il tuo affanno mi pesa a tal punto, che mi fa piangere"
" Ed elli a me: “La tua città, ch'è piena d'invidia sì che già trabocca il sacco, seco mi tenne in la vita serena"," Ma dimmi, se lo sai, a quale conclu-sione verranno i cittadini della città divisa dalle fa-zioni; dimmi se vi è qualcuno di giusto; e dimmi per quale motivo è dilaniata da tante discordie"
" Voi cittadini mi chiamaste Ciacco: per la dannosa colpa de la gola, come tu vedi, a la pioggia mi fiacco","» Ed egli a me: «Dopo un lungo contrasto le due fazioni verranno a scontri sanguinosi e la parte proveniente dal contado (=i guelfi bianchi, capeggiati dai Cerchi) caccerà l’altra (=i guelfi neri capeggiati dai Donati), che su-birà molte violenze"
" E io anima trista non son sola, ché tutte queste a simil pena stanno per simil colpa”"," Nel giro di tre anni però la par-te bianca cadrà e la parte nera prenderà il soprav-vento con l’aiuto di un tale (=papa Bonifacio VIII), che ora si barcamena"
 E più non fé parola," Per molto tempo quest’ultima avrà il predominio e terrà l’altra sotto gravi pesi, per quanto questa pianga o si sdegni"
" Io li rispuosi: “Ciacco, il tuo affanno mi pesa sì, ch'a lagrimar mi 'nvita"," Giusti son due e non sono ascoltati: la superbia, l’invidia e l’avarizia sono le tre scintille che hanno acceso i cuori»"
" ma dimmi, se tu sai, a che verranno li cittadin de la città partita", Qui pose fine alle parole che invitavano al pianto
 s'alcun v'è giusto," Ed io a lui: «Voglio che tu mi dica ancora qualcos’altro, voglio che tu mi dia altre notizie"
 e dimmi la cagione per che l'ha tanta discordia assalita”," Farinata e il Tegghiaio, che furono così onorati, Jacopo Rusticucci, Arrigo Fifanti e il Mosca e gli altri, che operarono per il bene della città, dimmi dove sono e fa’ che lo cono-sca, perché provo un gran desiderio di sapere se il cielo li consola o l’inferno li amareggia…» Ed egli: «Essi sono fra le anime più nere: colpe diverse li trascinano giù nel fondo"
" E quelli a me: “Dopo lunga tencione verranno al sangue, e la parte selvaggia caccerà l'altra con molta offensione"," Se scendi ancora, li potrai vedere"
" Poi appresso convien che questa caggia infra tre soli, e che l'altra sormonti con la forza di tal che testé piaggia"," Ma, quando sarai nel dolce mondo, ti prego di richiamarmi alla memoria dei vivi"
" Alte terrà lungo tempo le fronti, tenendo l'altra sotto gravi pesi, come che di ciò pianga o che n'aonti", Non ti dico niente di più e non ti rispondo altro
" Giusti son due, e non vi sono intesi","» Allora piegò di sbieco gli occhi rivolti verso di me, mi guardò un poco, poi chinò la testa e, con essa, cadde nel fango come gli altri dannati"
" superbia, invidia e avarizia sono le tre faville c'hanno i cuori accesi”"," La condizione dei dannati dopo il giudizio finale La guida mi disse: «Non si alzerà più dal sonno, prima del suono della tromba dell’angelo che annunzia il giudizio univer-sale, quando verrà Cristo, il nemico dei malvagi"
 Qui puose fine al lagrimabil suono," Al-lora ciascuno troverà la sua tomba trista, riprenderà la sua carne e il suo aspetto, e udrà la sentenza fina-le di Dio, la quale echeggerà in eterno"
 E io a lui: “Ancor vo' che mi 'nsegni e che di più parlar mi facci dono,"» A passi lenti attraversammo quella sozza mescolan-za fatta di ombre e di pioggia, ragionando un po’ della vita futura"
" Farinata e 'l Tegghiaio, che fuor sì degni, Iacopo Rusticucci, Arrigo e 'l Mosca e li altri ch'a ben far puoser li 'ngegni, dimmi ove sono e fa ch'io li conosca"," Io dissi: «O maestro, dopo il giudizio universale questi tor-menti cresceranno, diventeranno minori o resteranno così cocenti?» Ed egli a me: «Ritorna con il pensiero alla scienza di Aristotele, che hai fatto tua"
 ché gran disio mi stringe di savere se 'l ciel li addolcia o lo 'nferno li attosca”," Essa insegna che, quanto più una cosa è perfetta, tanto più sente il bene e, ugualmen-te, il dolore"
 E quelli: “Ei son tra l'anime più nere," Sebbene non possa raggiungere mai la vera perfezione, che sta nella comunione con Dio, questa gente maledetta si avvicina maggiormente alla perfezione dopo il giudizio universale, quando il corpo è riunito all’anima, piuttosto che prima»"
" diverse colpe giù li grava al fondo: se tanto scendi, là i potrai vedere", Noi percorremmo quella strada circolare parlando molto di più di quanto riferisco
" Ma quando tu sarai nel dolce mondo, priegoti ch'a la mente altrui mi rechi: più non ti dico e più non ti rispondo”", Venimmo al punto 1 9 in cui si scende nel cerchio sottostante
 Li diritti occhi torse allora in biechi," Qui trovam-mo Pluto, il grande nemico degli uomini"
 guardommi un poco e poi chinò la testa: cadde con essa a par de li altri ciechi,
