Original,Translate_IT_1
"Luogo è in inferno detto Malebolge, tutto di pietra di color ferrigno, come la cerchia che dintorno il volge",che veniva verso di noi dalla parte opposta e che era spinta u-gualmente dalle sferzate
" Nel dritto mezzo del campo maligno vaneggia un pozzo assai largo e profondo, di cui dicerò l'ordigno"," E il buon maestro, senza che io domandassi, mi disse: «Guarda quel grande che viene verso di noi e che non pare versar lacrime per il dolore"
" Quel cinghio che rimane adunque è tondo tra 'l pozzo e 'l piè de l'alta ripa dura, e ha distinto in dieci valli il fondo", Quale aspetto regale mantiene ancora
" Quale, dove per guardia de le mura più e più fossi cingon li castelli, la parte dove son rende figura, tale imagine quivi facean quelli"," Quello è Giasóne, che con il coraggio e con l’astuzia privò gli abitanti della Colchide del vello d’oro"
" e come a tai fortezze da' lor sogli a la ripa di fuor son ponticelli, così da imo de la roccia scogli movien che ricidien li argini e ' fossi infino al pozzo che i tronca e raccogli"," Egli passò per l’isola di Lemno, dopo che le femmine, audaci e spietate, a-vevano dato la morte a tutti i maschi"
" In questo luogo, de la schiena scossi di Gerïon, trovammoci"," Lì con gesti da innamorato e con belle parole, ingannò Isifìle, la giovinetta che per prima aveva ingannato tutte le al-tre"
" e 'l poeta tenne a sinistra, e io dietro mi mossi"," La lasciò qui, sola e incinta"
" A la man destra vidi nova pieta, novo tormento e novi frustatori, di che la prima bolgia era repleta"," Quella colpa lo condanna a questa punizione, che vendica anche l’inganno che fece ai danni di Medea"
 Nel fondo erano ignudi i peccatori, Con lui se ne va chi inganna allo stesso modo
" dal mezzo in qua ci venien verso 'l volto, di là con noi, ma con passi maggiori, come i Roman per l'essercito molto, l'anno del giubileo, su per lo ponte hanno a passar la gente modo colto, che da l'un lato tutti hanno la fronte verso 'l castello e vanno a Santo Pietro, da l'altra sponda vanno verso 'l monte", Ti basti sapere que-sto della prima bolgia e dei dannati che essa puni-sce»
" Di qua, di là, su per lo sasso tetro vidi demon cornuti con gran ferze, che li battien crudelmente di retro", Gli adulatori: Alessio Interminelli e
 Ahi come facean lor levar le berze a le prime percosse,
 già nessuno le seconde aspettava né le terze,
" Mentr'io andava, li occhi miei in uno furo scontrati", Ormai eravamo giunti là dove lo stretto ponte incon-tra il secondo argine e fa di esso sostegno ad un altro ponte
 e io sì tosto dissi: “Già di veder costui non son digiuno”, Da qui sentimmo gente che si lamentava som-messamente nell’altra bolgia
 Per ch'ïo a figurarlo i piedi affissi, Con il muso sbuffava e con le mani colpiva se stessa
" e 'l dolce duca meco si ristette, e assentio ch'alquanto in dietro gissi"," Le pareti della bol-gia erano incrostate di muffa, per le esalazioni pro-venienti dal basso, che vi si depositavano e che irri-tavano gli occhi e il naso"
 E quel frustato celar si credette bassando 'l viso," Il fondo era così cupo che non avevamo un luogo per vedere senza salire sul dosso dell’arco, dove il ponte sovrasta maggiormen-te il fossato"
" ma poco li valse, ch'io dissi: “O tu che l'occhio a terra gette, se le fazion che porti non son false, Venedico se' tu Caccianemico", Giungemmo qui
 Ma che ti mena a sì pungenti salse?”, Giù nella bolgia vidi gente (=gli adulatori) immersa in uno sterco che ap-pariva uscito dalle latrine umane
 Ed elli a me: “Mal volontier lo dico," E, mentre io cer-cavo di vedere laggiù strizzando gli occhi, vidi un dannato che aveva il capo così sporco di merda che non si capiva se era laico o chierico"
" ma sforzami la tua chiara favella, che mi fa sovvenir del mondo antico"," Quello mi gri-dò: «Perché sei così ingordo di guardare me più degli altri dannati?» Ed io a lui: «Perché, se ben ricordo, ti ho già visto con i capelli asciutti (=da vivo)"
" I' fui colui che la Ghisolabella condussi a far la voglia del marchese, come che suoni la sconcia novella", Tu sei Alessio Interminelli da 4 4 Lucca
 E non pur io qui piango bolognese, Per questo motivo ti fisso più di tutti gli al-tri
" anzi n'è questo loco tanto pieno, che tante lingue non son ora apprese a dicer 'sipa' tra Sàvena e Reno","» Egli allora, colpendosi la testa, disse: «Qua giù mi hanno sommerso le lusinghe di cui la mia lingua non era mai stanca…» Taide, la puttana La mia guida parlò subito dopo: «Fa’ in modo di spingere lo sguardo un po’ più a-vanti, per vedere bene con gli occhi la faccia di quella donna sozza e scarmigliata, che si graffia là con le unghie merdose e ora si piega sulle cosce ed ora si alza in piedi"
" e se di ciò vuoi fede o testimonio, rècati a mente il nostro avaro seno”"," È Taide, la puttana"
" Così parlando il percosse un demonio de la sua scurïada, e disse: “Via, ruffian"," Al suo a-mante, quando le chiese: “Ho io grandi meriti presso di te?”, rispose: “Anzi, grandissimi"
 qui non son femmine da conio”,”
 I' mi raggiunsi con la scorta mia, E di questo siano soddisfatti i nostri occhi
 poscia con pochi passi divenimmo là 'v' uno scoglio de la ripa uscia,»
