Original,Translate_IT_1
"Io dico, seguitando, ch'assai prima che noi fossimo al piè de l'alta torre, li occhi nostri n'andar suso a la cima per due fiammette che i vedemmo porre, e un'altra da lungi render cenno, tanto ch'a pena il potea l'occhio tòrre","Io dico, proseguendo il racconto del viaggio, che molto prima che fossimo giunti ai piedi di una torre, assai alta, i nostri occhi andarono fino alla sua cima, perché vi vedemmo accendere due fiammelle, men-tre un’altra torre più lontana, che a fatica l’occhio poteva scorgere, rispondeva al segnale accendendo a sua volta una fiammella"
 E io mi volsi al mar di tutto 'l senno," Io mi rivolsi a Virgilio, il mare di saggezza, e dissi: «Che cosa dice questo segnale? E che cosa risponde quell’altro? E chi sono quelli che fanno questi se-gnali?» Ed egli a me: «Su per le acque sporche puoi già scorgere colui che stiamo aspettando, se il vapore del pantano non te lo nasconde alla vista»"
 dissi: “Questo che dice? e che risponde quell'altro foco? e chi son quei che 'l fenno?”," La corda di un arco non scoccò mai una freccia che fendesse l’aria in modo così veloce come fece una piccola barca che io vidi in quel momento venire per l’acqua verso di noi, governata da un solo barcaiolo, che gridava: «Finalmente sei arrivata, o anima malvagia"
" Ed elli a me: “Su per le sucide onde già scorgere puoi quello che s'aspetta, se 'l fummo del pantan nol ti nasconde”","» «O Flegiàs, o Flegiàs, tu gridi per niente questa vol-ta» disse il mio signore, «ci avrai con te soltanto per attraversare la palude di fango…» Come chi ascolta un grande inganno, che gli è stato fatto, e poi se ne rammarica, così si fece Flegiàs, frenando la sua rabbia di soddisfazione"
" Corda non pinse mai da sé saetta che sì corresse via per l'aere snella, com'io vidi una nave piccioletta venir per l'acqua verso noi in quella, sotto 'l governo d'un sol galeoto, che gridava: “Or se' giunta, anima fella", La mia gui-da discese nella barca e poi mi fece scendere accan-to a lei
”, Soltanto quando fui dentro essa appariva ca-rica
" “Flegïàs, Flegïàs, tu gridi a vòto”, disse lo mio segnore, “a questa volta: più non ci avrai che sol passando il loto”"," Non appena Virgilio ed io fummo saliti, l’antica barca ripartì fendendo l’acqua più di quanto non fosse solita fare con gli altri passeggeri"
" Qual è colui che grande inganno ascolta che li sia fatto, e poi se ne rammarca, fecesi Flegïàs ne l'ira accolta"," L’incontro-scontro con Filippo Argenti Mentre noi attraversavamo la palude stagnante, mi si mise davanti un dannato ricoperto di fango, che disse: «Chi sei tu, che vieni qui prima di esser morto?» Ed io a lui: «Se io vengo, non rimango"
" Lo duca mio discese ne la barca, e poi mi fece intrare appresso lui"," Ma chi sei tu, che sei così abbruttito dal fango?» Rispose: «Vedi che sono uno che soffre"
 e sol quand'io fui dentro parve carca,"» Ed io a lui: «Rimani pure con le tue lacrime e il tuo dolore, o spirito maledetto, perché io ti riconosco, anche se sei tutto sporco di fango"
" Tosto che 'l duca e io nel legno fui, segando se ne va l'antica prora de l'acqua più che non suol con altrui","» Allora il dannato si protese con ambo le mani verso la barca per rovesciarla, perciò il maestro, previden-te, lo spinse via dicendo: «Vai via di qui"
" Mentre noi corravam la morta gora, dinanzi mi si fece un pien di fango, e disse: “Chi se' tu che vieni anzi ora?”", Torna con gli altri cani
" E io a lui: “S'i' vegno, non rimango","» Poi mi cinse il collo con le braccia, mi baciò il viso e disse: «O anima che disprezzi i malvagi, sia benedetta la donna che rimase incinta di te"
" ma tu chi se', che sì se' fatto brutto?”", Nel mondo quel dannato fu una persona orgogliosa
 Rispuose: “Vedi che son un che piango”," Non c’è alcuna sua buona azione che onori il ricordo che lascia, così la sua ombra scatena qui la sua furia"
" E io a lui: “Con piangere e con lutto, spirito maladetto, ti rimani"," Quanti uomini si ritengono grandi re da vivi e qui saranno come porci nel loro sudiciume, poiché hanno lasciato di sé orribili motivi di disprezzo"
" ch'i' ti conosco, ancor sie lordo tutto”","» Ed io: «O maestro, avrei un gran desiderio di vederlo spro-fondato in questa brodaglia di fango, prima che u-sciamo da questa palude…"
 Allor distese al legno ambo le mani,"» Ed egli a me: «Prima che avvistiamo l’altra sponda, tu sarai soddi-sfatto"
" per che 'l maestro accorto lo sospinse, dicendo: “Via costà con li altri cani", E di tale desiderio conviene che tu goda
”,"» Poco dopo io vidi che le genti immerse nel fango fecero di lui quello strazio, per il quale ancora lodo Dio e lo ringrazio"
 Lo collo poi con le braccia mi cinse, Tutti gridavano: «Addosso a Filippo Argenti
" basciommi 'l volto e disse: “Alma sdegnosa, benedetta colei che 'n te s'incinse",» E quel bizzarro spirito fiorentino volgeva i denti verso di sé
 Quei fu al mondo persona orgogliosa," Lo lasciammo qui, e non dirò altro di lui"
 bontà non è che sua memoria fregi: così s'è l'ombra sua qui furïosa," La città di Dite Le mie orecchie furono colpite da un coro lamento-so, che mi fece aprire bene gli occhi davanti a me"
" Quanti si tegnon or là sù gran regi che qui staranno come porci in brago, di sé lasciando orribili dispregi"," Il buon maestro disse: «Ormai, o figlio, si avvicina la città chiamata Dite (=uno dei nomi di Lucifero), con i suoi abitanti sof-ferenti e con un grande stuolo di diavoli»"
”," Ed io: «O maestro, già scorgo chiaramente, là dentro, le sue torri nella valle: sono di color rosso come se fos-sero uscite dal fuoco"
" E io: “Maestro, molto sarei vago di vederlo attuffare in questa broda prima che noi uscissimo del lago”","» Ed egli mi disse: «Il fuoco eterno, che all’interno le incendia, le fa diventare di color rosso, come tu vedi in questa par-te più bassa dell’inferno»"
" Ed elli a me: “Avante che la proda ti si lasci veder, tu sarai sazio: di tal disïo convien che tu goda”", Alla fine noi giungemmo con la barca dentro i pro-fondi fossati che circondano quella terra dolorosa
" Dopo ciò poco vid'io quello strazio far di costui a le fangose genti, che Dio ancor ne lodo e ne ringrazio", Le mura mi apparivano fatte di ferro
 Tutti gridavano: “A Filippo Argenti," Facemmo un lungo giro, quindi venimmo in un punto dove il noc-chiero gridò a voce alta: «Uscite dalla barca, l’entrata è qui"
”,"» I diavoli impediscono di entrare Io vidi sulle porte più di mille diavoli piovuti dal cielo, che dicevano con stizza: «Chi è costui che, senza esser morto, va per il regno dei morti?» Il mio saggio maestro fece segno di voler parlare con loro in privato"
 e 'l fiorentino spirito bizzarro in sé medesmo si volvea co' denti," Allora frenarono un po’ il loro sde-gno e dissero: «Vieni avanti tu da solo e quell’altro se ne vada, perché è entrato con arroganza nel nostro regno"
" Quivi il lasciammo, che più non ne narro", Ri-torni indietro da solo per la strada che da folle ha percorso
" ma ne l'orecchie mi percosse un duolo, per ch'io avante l'occhio intento sbarro"," Ci provi, se ne è capace"
" Lo buon maestro disse: “Omai, figliuolo, s'appressa la città c'ha nome Dite, coi gravi cittadin, col grande stuolo”"," Tu rimani qui, perché gli hai fatto vedere il mondo immerso nel bu-io"
" E io: “Maestro, già le sue meschite là entro certe ne la valle cerno, vermiglie come se di foco uscite fossero”","» Pensa, o lettore, se io non mi persi d’animo ascol-tando quelle parole maledette, poiché credetti che non sarei mai più ritornato indietro… «O mia cara guida» io dissi, «che tante volte mi hai dato sicurezza e mi hai salvato da un grave pericolo che mi minacciava, non lasciarmi così a mal partito"
" Ed ei mi disse: “Il foco etterno ch'entro l'affoca le dimostra rosse, come tu vedi in questo basso inferno”"," E, se ci è negato di passare più oltre, affrettiamoci a ritornare insieme sui nostri passi"
 Noi pur giugnemmo dentro a l'alte fosse che vallan quella terra sconsolata: le mura mi parean che ferro fosse,"» 2 3 Virgilio va a trattare E quel maestro, che mi aveva condotto fin lì, mi dis-se: «Non temere, perché nessuno può impedire il nostro passaggio, che è voluto da Lui"
" Non sanza prima far grande aggirata, venimmo in parte dove il nocchier forte “Usciteci”, gridò: “qui è l'intrata”"," Ora aspettami qui, conforta il tuo spirito preoccupato e cìbalo con buo-na speranza, poiché io non ti lascerò nel mondo sot-terraneo"
" Io vidi più di mille in su le porte da ciel piovuti, che stizzosamente dicean: “Chi è costui che sanza morte va per lo regno de la morta gente?”",» Così il dolce padre se ne va e mi abbandona qui
 E 'l savio mio maestro fece segno di voler lor parlar segretamente," Io rimango incerto, poiché il successo o l’insuccesso di Virgilio si scontrano nella mia testa"
" Allor chiusero un poco il gran disdegno e disser: “Vien tu solo, e quei sen vada che sì ardito intrò per questo regno"," Non potei a-scoltare quello che disse ai diavoli, ma egli non ri-mase a lungo con essi, poiché ciascuno di loro corse a gara dentro le mura"
" Sol si ritorni per la folle strada: pruovi, se sa"," I nostri avversari chiusero le porte in faccia al mio signore, che rimase fuori e ri-tornò verso di me a passi lenti"
" ché tu qui rimarrai, che li ha' iscorta sì buia contrada”", Aveva gli occhi ri-volti a terra e le ciglia prive di ogni baldanza
" Pensa, lettor, se io mi sconfortai nel suon de le parole maladette, ché non credetti ritornarci mai"," Sospi-rando, diceva: «Guarda un po’ chi mi ha negato l’accesso alla città del dolore"
" “O caro duca mio, che più di sette volte m'hai sicurtà renduta e tratto d'alto periglio che 'ncontra mi stette, non mi lasciar”, diss'io, “così disfatto","» E a me disse: «Tu non spaventarti se io mi adiro, poiché io vince-rò la prova, chiunque si aggiri dentro la città per di-fenderla"
" e se 'l passar più oltre ci è negato, ritroviam l'orme nostre insieme ratto”"," Questa loro tracotanza non è nuova, perché la usarono in passato, quando Gesù Cristo discese negli inferi, per difendere una porta più importante, quella principale, che è rimasta priva di battenti ed è ancora aperta"
" E quel segnor che lì m'avea menato, mi disse: “Non temer", Su di essa tu vedesti la scritta minac-ciosa
