Original,Translate_IT_1
"Così discesi del cerchio primaio giù nel secondo, che men loco cinghia e tanto più dolor, che punge a guaio","Così dal primo cerchio discesi giù nel secondo, che abbraccia uno spazio più piccolo, ma un dolore più grave, che costringe le anime a lamentarsi"
" Stavvi Minòs orribilmente, e ringhia: essamina le colpe ne l'intrata"," Minosse sta in modo orribile sulla soglia e digrigna i denti: esamina le colpe delle anime che entrano, le giudica e le manda nel cerchio che indica avvolgendo la co-da"
 giudica e manda secondo ch'avvinghia," Dico che l’anima malnata, quando gli vien da-vanti, si confessa tutta, e quel giudice dei peccati vede quale luogo dell’inferno le spetta e cinge la coda tante volte quanti cerchi vuol che scenda"
" Dico che quando l'anima mal nata li vien dinanzi, tutta si confessa"," Da-vanti a lui ci sono sempre molte anime: vanno una dopo l’altra a farsi giudicare, confessano i peccati, odono la condanna e precipitano giù"
 e quel conoscitor de le peccata vede qual loco d'inferno è da essa," «O tu che vieni in questo luogo di dolore» disse Mi-nosse quando mi vide, interrompendo il suo terribile compito, «guarda come fai ad entrare e di chi ti fidi: non lasciarti ingannare dall’ampiezza dell’entrata"
 cignesi con la coda tante volte quantunque gradi vuol che giù sia messa,"» E la mia guida a lui: «Perché gridi? Non cercar d’impedire il suo viaggio, che è prestabilito: si vuole così là (=l’empìreo), do-ve si può ciò che si vuole, e più non domandare"
" Sempre dinanzi a lui ne stanno molte: vanno a vicenda ciascuna al giudizio, dicono e odono e poi son giù volte","» I lussuriosi travolti dalla bufera infernale Ora incominciano a farsi sentire le voci di dolore, ora son venuto dove molto pianto mi colpisce"
" “O tu che vieni al doloroso ospizio”, disse Minòs a me quando mi vide, lasciando l'atto di cotanto offizio, “guarda com'entri e di cui tu ti fide"," Venni in un luogo privo di qualsiasi lume, che mugghia come fa il mare in tempesta, quando è sconvolto da venti contrari"
 non t'inganni l'ampiezza de l'intrare," La bufera infernale, che mai si arre-sta, travolge gli spiriti con la sua violenza: li rivolta, li percuote, li molesta"
”," Quando giungono davanti al precipizio, i dannati fanno sentire le loro urla, il loro pianto, il loro lamento, e bestemmiano l’onnipotenza divina"
" E 'l duca mio a lui: “Perché pur gride? Non impedir lo suo fatale andare: vuolsi così colà dove si puote ciò che si vuole, e più non dimandare”"," Compresi che a quel tormento erano condan-nati i peccatori carnali, che sottomettono la ragione all’istinto"
 Or incomincian le dolenti note a farmisi sentire," E, come le ali portano gli stornelli duran-te l’inverno in larga e fitta schiera, così quel vento trascina quegli spiriti malvagi di qua, di là, di giù, di su"
 or son venuto là dove molto pianto mi percuote, Nessuna speranza può mai confortarli né di tregua né di minor pena
" Io venni in loco d'ogne luce muto, che mugghia come fa mar per tempesta, se da contrari venti è combattuto"," E, come le gru van cantan-do i loro lamenti, facendo nell’aria una lunga fila, così io vidi venire, lamentandosi, ombre trascinate dal soffio impetuoso del vento"
" La bufera infernal, che mai non resta, mena li spirti con la sua rapina"," Perciò dissi: «O maestro, chi sono quelle genti che l’aria nera co-sì castiga?» Virgilio indica alcuni dannati «La prima di quelle anime, di cui vuoi aver notizia» mi disse allora, «è Semiramide"
 voltando e percotendo li molesta," Fu imperatrice di molte nazioni e al vizio di lussuria fu così rotta, che per legge nel suo regno fece lecito ciò che piacesse, per liberarsi del biasimo in cui era caduta"
" Quando giungon davanti a la ruina, quivi le strida, il compianto, il lamento"," Di lei si legge che succedette a Nino e fu sua sposa, e gover-nò le terre, che ora son dominate dal sultano"
 bestemmian quivi la virtù divina," L’altra è Didone, che si uccise per amore e che ruppe il giu-ramento di fedeltà alle ceneri di Sichèo"
" Intesi ch'a così fatto tormento enno dannati i peccator carnali, che la ragion sommettono al talento"," La terza è Cleopatra, che visse nella lussuria"
" E come li stornei ne portan l'ali nel freddo tempo, a schiera larga e piena, così quel fiato li spiriti mali di qua, di là, di giù, di sù li mena"," Vedi Elena, che fu causa di una lunga e sanguinosa guerra"
" nulla speranza li conforta mai, non che di posa, ma di minor pena"," E vedi il grande Achille, che alla fine combatté con l’amore, che lo vinse"
