Original,Translate_IT_1
"In su l'estremità d'un'alta ripa che facevan gran pietre rotte in cerchio, venimmo sopra più crudele stipa","Sull’estremità di un’alta ripa, formata da grandi pie-tre scheggiate disposte in cerchio, venimmo sopra una folla di anime punita in modo più crudele"
" e quivi, per l'orribile soperchio del puzzo che 'l profondo abisso gitta, ci raccostammo, in dietro, ad un coperchio d'un grand'avello, ov'io vidi una scritta che dicea: 'Anastasio papa guardo, lo qual trasse Fotin de la via dritta'"," Qui, per l’orribile eccesso del puzzo che il profondo abis-so getta, tornammo un po’ indietro e ci accostammo al coperchio d’una grande tomba"
" “Lo nostro scender conviene esser tardo, sì che s'ausi un poco in prima il senso al tristo fiato"," Su di essa io vidi una scritta che diceva: «Custodisco papa Anastasio II, che Fotino allontanò dalla retta via»"
 e poi no i fia riguardo”," «Conviene che la nostra discesa sia lenta, così il no-stro olfatto si abitua un po’ alla volta a questo inten-so fetore"
 Così 'l maestro, Poi non vi faremo più caso»
" e io “Alcun compenso”, dissi lui, “trova che 'l tempo non passi perduto”", Così il maestro
 Ed elli: “Vedi ch'a ciò penso”," Ed io a lui: «Trova qualcosa di utile» dissi, «per non lasciar pas-sare il tempo invano"
" “Figliuol mio, dentro da cotesti sassi”, cominciò poi a dir, “son tre cerchietti di grado in grado, come que' che lassi","» Ed egli: «Vedi che ci sto già pensando…» Le tre direzioni della violenza «O figlio mio, racchiusi dentro a codesti cerchi» cominciò poi a dire, «ci sono tre cerchi più piccoli via via che si discende, come quelli che hai lasciato"
 Tutti son pien di spirti maladetti, Tutti sono pieni di spiriti maledetti
" ma perché poi ti basti pur la vista, intendi come e perché son costretti"," Ma, affinché poi ti basti solamente vederli, intendi come e perché sono messi insieme"
" D'ogne malizia, ch'odio in cielo acquista, ingiuria è 'l fine, ed ogne fin cotale o con forza o con frode altrui contrista"," Il fine di ogni malizia, che ac-quista odio in cielo, è l’ingiuria; ed ogni fine di que-sto tipo contrista il prossimo o con la forza o con la frode"
" Ma perché frode è de l'uom proprio male, più spiace a Dio"," Ma la frode, poiché è il male proprio dell’uo-mo, più dispiace a Dio, perciò i fraudolenti stanno di sotto e sono puniti con maggior dolore"
" e però stan di sotto li frodolenti, e più dolor li assale"," Il primo cerchio accoglie i violenti; ma, poiché si fa violenza a tre tipi diversi di persone, esso è diviso e struttura-to in tre gironi"
 Di vïolenti il primo cerchio è tutto," Si può fare violenza a Dio, a se stes-si e al prossimo; la si può fare direttamente contro di loro o indirettamente contro le loro cose, come udi-rai chiaramente dalla mia spiegazione"
" ma perché si fa forza a tre persone, in tre gironi è distinto e costrutto"," Al prossimo si dà la morte con la violenza e s’infliggono ferite dolorose, e ai suoi beni si causano rovine, incendi e rapine dannose"
" A Dio, a sé, al prossimo si pòne far forza, dico in loro e in lor cose, come udirai con aperta ragione"," Perciò il primo girone tormenta o-micidi e feritori senza motivo, guastatori e predoni, che sono divisi in diverse schiere"
" Morte per forza e ferute dogliose nel prossimo si danno, e nel suo avere ruine, incendi e tollette dannose", Un uomo può ave-re la mano violenta verso di sé (=i suicidi) e verso i suoi beni (=gli scialacquatori)
" onde omicide e ciascun che mal fiere, guastatori e predon, tutti tormenta lo giron primo per diverse schiere"," Perciò nel secondo girone si pente senza alcun vantaggio chi priva di se stesso il vostro mondo, chi gioca nelle bische e chi sperpera le sue ricchezze, e, caduto in povertà, pian-ge là, sulla Terra, dove doveva essere felice"
 Puote omo avere in sé man vïolenta e ne' suoi beni, Si può fare violenza verso Dio in due modi: rinne-gandolo con il cuore e bestemmiandolo; e poi di-sprezzando la Natura e i beni che ci offre
" e però nel secondo giron convien che sanza pro si penta qualunque priva sé del vostro mondo, biscazza e fonde la sua facultade, e piange là dov'esser de' giocondo"," Perciò il girone più piccolo segna con il suo marchio i sodo-miti, gli usurai e infine i bestemmiatori, che disprez-zano Dio nel loro cuore"
" Puossi far forza ne la deïtade, col cor negando e bestemmiando quella, e spregiando natura e sua bontade"," Le due direzioni della frode L’uomo può usare la frode, che può corrompere ogni coscienza, contro chi si fida di lui e contro chi non si fida"
" e però lo minor giron suggella del segno suo e Soddoma e Caorsa e chi, spregiando Dio col cor, favella"," Quest’ultimo modo pare che infranga soltan-to il vincolo dell’amore, cioè l’amicizia, la simpatia e la solidarietà, che la Natura fa sorgere tra gli uo-mini"
" La frode, ond'ogne coscïenza è morsa, può l'omo usare in colui che 'n lui fida e in quel che fidanza non imborsa"," Perciò nel cerchio secondo sono puniti gli ipo-criti, chi usa le lusinghe, cioè i seduttori e gli adula-tori, e chi fa magia o stregoneria, cioè i maghi e gli indovini, e poi sono puniti i falsari, i ladri e i simo-niaci, i ruffiani, i barattieri e simile lordura"
 Questo modo di retro par ch'incida pur lo vinco d'amor che fa natura," Con l’altro modo si dimentica quell’amore che la Natura fa sorgere e quello che poi si aggiunge con la vita comune, per il quale si crea una reciproca confiden-za tra gli uomini"
" onde nel cerchio secondo s'annida ipocresia, lusinghe e chi affattura, falsità, ladroneccio e simonia, ruffian, baratti e simile lordura"," Perciò nel cerchio minore, dove è il punto dell’universo in cui siede Lucifero, è punito in eterno chi tradisce»"
" Per l'altro modo quell'amor s'oblia che fa natura, e quel ch'è poi aggiunto, di che la fede spezïal si cria"," Incontinenza, malizia e matta bestialità Ed io: «O maestro, la tua spiegazione è molto chiara e di-stingue molto bene questo bàratro e il popolo che es-so accoglie"
" onde nel cerchio minore, ov'è 'l punto de l'universo in su che Dite siede, qualunque trade in etterno è consunto”"," Ma dimmi: gli iracondi della palude fangosa dello Stige, i lussuriosi trascinati dalla bufe-ra, i golosi che sono battuti dalla pioggia e gli avari e i prodighi che s’incontrano e s’insultano con paro-le offensive, perché non sono puniti dentro la città infuocata di Dite, se Dio è adirato con loro? E, se non è adirato, perché sono castigati in quel modo?» Ed egli a me: «Perché il tuo ingegno sragiona tanto» disse, «ben diversamente da quel che di solito fa? Oppure la tua mente mira altrove, a qualche dottrina eretica? Non ti ricordi di quelle parole con le quali l’Etica di Ari-stotele, che hai fatto tua, tratta compiutamente le tre disposizioni che il cielo non vuole, cioè incontinen-za, malizia e matta bestialità? E come l’incontinenza offende meno Dio e quindi è punita in modo meno duro? Se tu riguardi bene quest’affermazione e ti rechi alla mente chi sono quelli che sopra, fuori della città di Dite, sostengono la penitenza, tu vedrai bene perché siano divisi dagli eretici e perché la divina giustizia li punisca meno gravemente»"
" E io: “Maestro, assai chiara procede la tua ragione, e assai ben distingue questo baràtro e 'l popol ch'e' possiede"," L’usura disprezza la Natura e l’arte «O Sole, che risani ogni vista turbata, tu, quando ri-solvi i miei dubbi, mi accontenti a tal punto che mi rendi gradito il dubbio non meno che il sapere"
" Ma dimmi: quei de la palude pingue, che mena il vento, e che batte la pioggia, e che s'incontran con sì aspre lingue, perché non dentro da la città roggia sono ei puniti, se Dio li ha in ira? e se non li ha, perché sono a tal foggia?”"," Vòl-tati ancora un po’ indietro» io dissi, «là dove dici che l’usura offende la bontà divina, e risolvimi que-sto nodo"
" Ed elli a me “Perché tanto delira”, disse, “lo 'ngegno tuo da quel che sòle? o ver la mente dove altrove mira? Non ti rimembra di quelle parole con le quai la tua Etica pertratta le tre disposizion che 'l ciel non vole, incontenenza, malizia e la matta bestialitade? e come incontenenza men Dio offende e men biasimo accatta? Se tu riguardi ben questa sentenza, e rechiti a la mente chi son quelli che sù di fuor sostegnon penitenza, tu vedrai ben perché da questi felli sien dipartiti, e perché men crucciata la divina vendetta li martelli”","» «La filosofia di Aristotele» mi disse, «a chi la in-tende bene, spiega chiaramente, e non in un solo passo, come la Natura prende il suo corso dal divino intelletto e dalla sua arte (=il lavoro o le sue appli-cazioni)"
" “O sol che sani ogne vista turbata, tu mi contenti sì quando tu solvi, che, non men che saver, dubbiar m'aggrata"," E, se tu leggi bene la sua Fisica, tu trove-rai, dopo qualche pagina, che la vostra arte, quanto può, segue quella di Dio, come il discepolo fa con il maestro"
" Ancora in dietro un poco ti rivolvi”, diss'io, “là dove di' ch'usura offende la divina bontade, e 'l groppo solvi”", In tal modo la vostra arte è quasi nipote di Dio
" “Filosofia”, mi disse, “a chi la 'ntende, nota, non pure in una sola parte, come natura lo suo corso prende dal divino 'ntelletto e da sua arte"," Da queste due, se tu ricordi gli inizi del Gene-si, conviene che la gente ricavi il sostentamento e progredisca"
" e se tu ben la tua Fisica note, tu troverai, non dopo molte carte, che l'arte vostra quella, quanto pote, segue, come 'l maestro fa 'l discente"," L’usuraio, che tiene un’altra via, di-sprezza la Natura in quanto tale e l’arte, sua segua-ce, poiché ripone la sua speranza nel lavoro altrui"
 sì che vostr' arte a Dio quasi è nepote," 2 9 Il viaggio riprende Ma ora séguimi, perché desidero proseguire"
" Da queste due, se tu ti rechi a mente lo Genesì dal principio, convene prender sua vita e avanzar la gente"," I Pesci guizzano su per l’orizzonte, le stelle dell’Orsa Mag-giore sono tutte sopra il vento di maestrale e si di-scende questa balza andando più oltre"
" e perché l'usuriere altra via tene, per sé natura e per la sua seguace dispregia, poi ch'in altro pon la spene",»
