Original,Translate_IT_1
"Chi poria mai pur con parole sciolte dicer del sangue e de le piaghe a pieno ch'i' ora vidi, per narrar più volte? Ogne lingua per certo verria meno per lo nostro sermone e per la mente c'hanno a tanto comprender poco seno","Chi potrebbe mai, anche in prosa, descrivere piena-mente il sangue e le piaghe che io vidi, anche se provasse più volte? Le parole verrebbero certamente a mancare, perché il nostro linguaggio e la nostra mente hanno poca capacità di comprendere tutto questo"
" S'el s'aunasse ancor tutta la gente che già, in su la fortunata terra di Puglia, fu del suo sangue dolente per li Troiani e per la lunga guerra che de l'anella fé sì alte spoglie, come Livïo scrive, che non erra, con quella che sentio di colpi doglie per contastare a Ruberto Guiscardo"," Se si radunasse tutta la gente che nel trava-gliato Meridione d’Italia versò il suo sangue e soffrì dolorosamente nelle guerre contro i romani e poi nella lunghissima guerra, che a Canne fruttò ai car-taginesi un enorme bottino di anelli, come scrive Li-vio, che è sempre veritiero"
" e l'altra il cui ossame ancor s'accoglie a Ceperan, là dove fu bugiardo ciascun Pugliese, e là da Tagliacozzo, dove sanz'arme vinse il vecchio Alardo", Se vi si aggiungesse quella gente che fu fatta a pezzi per aver opposto re-sistenza a Roberto il Guiscardo
" e qual forato suo membro e qual mozzo mostrasse, d'aequar sarebbe nulla il modo de la nona bolgia sozzo"," E, ancora, se vi si aggiungesse l’altra gente le cui ossa ancora si rac-colgono a Benevento, dove i baroni pugliesi tradiro-no Manfredi di Svevia, e a Tagliacozzo, dove il vecchio Alardo vinse con l’astuzia, senza usare le armi"
" Già veggia, per mezzul perdere o lulla, com'io vidi un, così non si pertugia, rotto dal mento infin dove si trulla"," E, infine, se tutti costoro mostrassero le loro membra trafitte o mozzate"
 Tra le gambe pendevan le minugia," Ebbene, tutto ciò sareb-be ancora incapace a eguagliare l’aspetto orrendo della nona bolgia"
 la corata pareva e 'l tristo sacco che merda fa di quel che si trangugia," Maometto e i seminatori di discordie Una botte, che perde doghe del fondo o laterali, non era malridotta come un dannato che io vidi, che era tagliato in due dal mento fino al buco del culo"
" Mentre che tutto in lui veder m'attacco, guardommi e con le man s'aperse il petto, dicendo: “Or vedi com'io mi dilacco"," Tra le gambe gli pendevano le budella, si vedevano il cuore, i polmoni, la milza e lo stomaco ripugnante, che trasforma in merda ciò che si inghiotte"
 vedi come storpiato è Mäometto," Mentre lo guardavo con tutto me stesso, egli mi guardò e con le mani si aprì il petto, dicendo: «Adesso vedi come sono squarciato"
" Dinanzi a me sen va piangendo Alì, fesso nel volto dal mento al ciuffetto", Vedi com’è storpiato Maometto
" E tutti li altri che tu vedi qui, seminator di scandalo e di scisma fuor vivi, e però son fessi così"," Davanti a me se ne va piangen-do Alì, con il volto squarciato dal mento ai capelli"
" Un diavolo è qua dietro che n'accisma sì crudelmente, al taglio de la spada rimettendo ciascun di questa risma, quand'avem volta la dolente strada"," E tutti gli altri, che tu vedi qui, furono in vita semi-natori di discordie civili e religiose, perciò sono così mutilati"
 però che le ferite son richiuse prima ch'altri dinanzi li rivada," Qua dietro c’è un diavolo che ci accon-cia così crudelmente, sottoponendo di nuovo al ta-glio della spada ciascun dannato di questa schiera, una volta che abbiamo completato il doloroso giro della bolgia"
" Ma tu chi se' che 'n su lo scoglio muse, forse per indugiar d'ire a la pena ch'è giudicata in su le tue accuse?”", Però le ferite si rimarginano prima che ognuno di noi ritorni davanti a lui
" “Né morte 'l giunse ancor, né colpa 'l mena”, rispuose 'l mio maestro, “a tormentarlo"," Ma chi sei tu, che indugi sul ponte, forse per ritardare la pena che ti è inflitta per le tue colpe?» «Questi non è ancora morto e nessuna colpa lo con-duce qui tra i tormenti» gli rispose il mio maestro, «ma io, che sono morto, devo condurlo per l’inferno di cerchio in cerchio per fargli fare un’esperienza completa del vostro mondo"
" ma per dar lui esperïenza piena, a me, che morto son, convien menarlo per lo 'nferno qua giù di giro in giro"," E ciò è vero, come il fatto che io ti parlo»"
 e quest'è ver così com'io ti parlo”," Ci furono più di cento dannati che, quando lo senti-rono, si fermarono nella bolgia a guardarmi meravi-gliati, dimenticando la loro pena"
" Più fuor di cento che, quando l'udiro, s'arrestaron nel fosso a riguardarmi per maraviglia, oblïando il martiro"," «Allora tu, che forse tra poco rivedrai il Sole, di’ a fra’ Dolcino che, se non vuole raggiungermi presto, si procuri molti viveri, così che un inverno rigido non porti ai novaresi una vittoria che altrimenti sa-rebbe difficile da ottenere"
" “Or dì a fra Dolcin dunque che s'armi, tu che forse vedra' il sole in breve, s'ello non vuol qui tosto seguitarmi, sì di vivanda, che stretta di neve non rechi la vittoria al Noarese, ch'altrimenti acquistar non saria leve”","» Dopo che ebbe alzato in aria un piede per andarse-ne, Maometto mi disse queste parole, quindi lo posò a terra e si allontanò"
" Poi che l'un piè per girsene sospese, Mäometto mi disse esta parola"," Pier da Medicina, il tradimento di Malate-stino da Verucchio e il tribuno Caio Cu-rione Un altro dannato, che aveva la gola squarciata, il naso mozzo fin sotto le ciglia e soltanto un orecchio, si fermò a guardarmi pieno di meraviglia come gli altri, e prima degli altri aprì la canna della gola che fuori era da ogni parte bagnata di sangue"
