Original,Translate_IT_1
"Già era dritta in sù la fiamma e queta per non dir più, e già da noi sen gia con la licenza del dolce poeta, quand'un'altra, che dietro a lei venìa, ne fece volger li occhi a la sua cima per un confuso suon che fuor n'uscia","Ormai la fiamma di Ulisse era dritta in alto e quieta, perché non parlava più, e ormai lontano da noi se ne andava con la licenza del dolce poeta, quando un’altra fiamma, che veniva dietro di lei, ci fece volger gli occhi sulla sua cima, per un suono confuso che ne usciva"
" Come 'l bue cicilian che mugghiò prima col pianto di colui, e ciò fu dritto, che l'avea temperato con sua lima, mugghiava con la voce de l'afflitto, sì che, con tutto che fosse di rame, pur el pareva dal dolor trafitto"," Come il bue siciliano di Perillo, che mugghiò prima con il pianto di colui - e ciò fu giusto - che l’aveva costruito con la sua lima, muggiva con la voce del suppliziato, tanto che, per quanto fosse di bronzo, appariva trafitto dal dolore; così, per non trovar da principio nel fuoco né via d’uscita né foro, nelle o-scillazioni della fiamma si convertivano le parole grame"
" così, per non aver via né forame dal principio nel foco, in suo linguaggio si convertïan le parole grame"," Ma, dopo che ebbero trovato la loro via su per la punta, dandole quel guizzo che le avrebbe da-to la lingua al loro passaggio, udimmo dire: «O tu, al quale io drizzo la voce e che parlavi or ora italiano dicendo “Ora va’, più non ti spingo a parla-re”, perché io son giunto forse troppo tardi, non ti rincresca di restare a parlare con me"
" Ma poscia ch'ebber colto lor vïaggio su per la punta, dandole quel guizzo che dato avea la lingua in lor passaggio, udimmo dire: “O tu a cu' io drizzo la voce e che parlavi mo lombardo, dicendo ""Istra ten va, più non t'adizzo"", perch'io sia giunto forse alquanto tardo, non t'incresca restare a parlar meco"," Vedi che non rincresce a me, che ardo"
" vedi che non incresce a me, e ardo"," La situazione politica della Romagna Se tu soltanto ora in questo mondo cieco sei caduto da quella dolce terra italiana dalla quale io reco tut-ta la mia colpa, dimmi se i romagnoli hanno pace o guerra, perché io fui dei monti che sorgono là, tra Urbino e la giogaia dell’Appennino, dalla quale na-sce il Tevere"
" Se tu pur mo in questo mondo cieco caduto se' di quella dolce terra latina ond'io mia colpa tutta reco, dimmi se Romagnuoli han pace o guerra","» Io ero ancora tutto attento e chino in giù, quando la mia guida mi toccò il fianco con il gomito, dicendo: «Parla tu, questo è italiano"
 ch'io fui d'i monti là intra Orbino e 'l giogo di che Tever si diserra”,"» Ed io, che avevo già pronta la risposta, senza indu-gio incominciai a parlare: «O anima, che sei laggiù nascosta dalla fiamma, la tua Romagna non è, e non fu mai, senza conflitti nel cuore dei suoi tiranni, ma ora non ve ne lasciai alcu-no di visibile"
" Io era in giuso ancora attento e chino, quando il mio duca mi tentò di costa, dicendo: “Parla tu"," Ravenna sta com’è stata da molti anni a questa parte: l’aquila dei da Polenta la protegge, così come ricopre Cervia con le sue ali"
 questi è latino”," Forlì, che già fece lunga resistenza e una sanguinosa strage di francesi, si ritrova sotto le branche verdi degli Orde-laffi"
" E io, ch'avea già pronta la risposta, sanza indugio a parlare incominciai: “O anima che se' là giù nascosta, Romagna tua non è, e non fu mai, sanza guerra ne' cuor de' suoi tiranni"," E il vecchio e il nuovo mastino (=Malatesta e Malatestino da Verucchio), che fecero strazio di Montagnana dei Parcitadi, là, come il solito, fan succhiello dei loro denti e dissanguano i loro sudditi"
 ma 'n palese nessuna or vi lasciai," Faenza e Imola, bagnate dal Lamone e dal Santerno, son sotto il leoncello dal nido bianco di Maghinardo Pagani da Susinana, che muta partito dall’estate all’inverno"
" Ravenna sta come stata è molt'anni: l'aguglia da Polenta la si cova, sì che Cervia ricuopre co' suoi vanni"," E Cesena, della quale il fiu-me Savio bagna il fianco, così come essa siede tra la pianura e la montagna, vive tra tirannia e libere isti-tuzioni"
" La terra che fé già la lunga prova e di Franceschi sanguinoso mucchio, sotto le branche verdi si ritrova"," Ora ti prego di raccontarci chi sei: non essere restìo a rispondere più di quanto altri (=Dante stesso) sia stato con te, possa il tuo nome durare lungamente nel mondo"
" E 'l mastin vecchio e 'l nuovo da Verrucchio, che fecer di Montagna il mal governo, là dove soglion fan d'i denti succhio","» Guido, l’esperto in inganni che si fa in-gannare Dopo che il fuoco ebbe ruggito alquanto nel suo so-lito modo, la punta acuta della fiamma si mosse di qua e di là"
" Le città di Lamone e di Santerno conduce il lïoncel dal nido bianco, che muta parte da la state al verno"," Poi emise tali parole: «Se io credessi di rispondere a una persona che do-vesse tornare nel mondo, questa fiamma sarebbe senza più scosse e tacerebbe"
" E quella cu' il Savio bagna il fianco, così com'ella sie' tra 'l piano e 'l monte, tra tirannia si vive e stato franco"," Ma, poiché mai da questo fondo tornò alcun vivo (se io odo il vero), senza timore d’infamia ti rispondo"
" Ora chi se', ti priego che ne conte"," Io fui uomo d’ar-me e poi frate francescano, credendo, così cinto, di fare ammenda dei miei peccati"
" non esser duro più ch'altri sia stato, se 'l nome tuo nel mondo tegna fronte”"," E certamente quanto credevo si sarebbe avverato, se non ci fosse stato il papa - che gli venga ogni malanno"
" Poscia che 'l foco alquanto ebbe rugghiato al modo suo, l'aguta punta mosse di qua, di là, e poi diè cotal fiato: “S'i' credesse che mia risposta fosse a persona che mai tornasse al mondo, questa fiamma staria sanza più scosse"," -, che mi rimise nelle prime colpe"
" ma però che già mai di questo fondo non tornò vivo alcun, s'i' odo il vero, sanza tema d'infamia ti rispondo", E come e perché avvenne voglio che tu intenda
" Io fui uom d'arme, e poi fui cordigliero, credendomi, sì cinto, fare ammenda"," Mentre io ebbi forma di ossa e di carne che mia madre mi diede, le mie opere non fu-rono di leone, ma di volpe"
" e certo il creder mio venìa intero, se non fosse il gran prete, a cui mal prenda"," Io seppi tutti gli accor-gimenti e tutte le vie coperte, e ne feci tale uso, che la fama giunse fino al confine della Terra"
", che mi rimise ne le prime colpe"," Quando mi vidi giunto in quella parte della mia età (=la vec-chiaia), in cui ciascuno dovrebbe calar le vele e rac-coglier le sàrtie, ciò che prima mi piaceva, allora mi rincrebbe e, pentito e confesso, mi feci frate"
" e come e , voglio che m'intenda", Ahimè infelice
" Mentre ch'io forma fui d'ossa e di polpe che la madre mi diè, l'opere mie non furon leonine, ma di volpe"," Eppure mi sarebbe giovato, se non mi fossi lasciato sviare"
" Li accorgimenti e le coperte vie io seppi tutte, e sì menai lor arte, ch'al fine de la terra il suono uscie"," Bonifacio VIII chiede un consiglio fraudo-lento Il principe dei nuovi farisei (=Bonifacio VIII), aven-do guerra presso Roma contro i Colonna e non con-tro i saraceni né contro i giudei, perché ciascun ne-mico era cristiano e nessuno era andato a conquista-re la città di Acri [in Siria] né aveva fatto il mercan-te nella terra del sultano, né sommo ufficio né ordini sacri guardò in sé, né in me quel cordone, che un tempo faceva più magri coloro che lo cingevano"
" Quando mi vidi giunto in quella parte di mia etade ove ciascun dovrebbe calar le vele e raccoglier le sarte, ciò che pria mi piacëa, allor m'increbbe, e pentuto e confesso mi rendei"," Ma, come Costantino fece chiamare papa Silvestro I dalla grotta del Soratte, per guarir la lebbra; così co-stui mi fece venire quale maestro, per guarir la sua febbre superba"
 ahi miser lasso," Egli mi domandò un consiglio frau-dolento, io tacqui, perché le sue parole apparvero quelle di un ubriaco"
 e giovato sarebbe, Poi riprese a dire: “Il tuo cuore non sospetti
" Lo principe d'i novi Farisei, avendo guerra presso a Laterano, e non con Saracin né con Giudei, ché ciascun suo nimico era cristiano, e nessun era stato a vincer Acri né mercatante in terra di Soldano, né sommo officio né ordini sacri guardò in sé, né in me quel capestro che solea fare i suoi cinti più macri"," Fin d’ora ti assolvo, e tu inségnami come fare per conquistare la città di Pale-strina"
" Ma come Costantin chiese Silvestro d'entro Siratti a guerir de la lebbre, così mi chiese questi per maestro a guerir de la sua superba febbre"," Io posso chiudere e aprire il cielo, come tu sai, perché son due le chiavi che il mio predecessore Celestino V non ebbe care"
" domandommi consiglio, e io tacetti perché le sue parole parver ebbre","” Allora gli argomenti gravi mi spinsero là dove il si-lenzio mi apparve la scelta peggiore, e dissi: “O padre, poiché tu mi lavi di quel peccato nel qua-le ora io devo cadere, ecco il mio consiglio: una grande promessa di pace e di conciliazione, che poi non manterrai, ti farà trionfare nella tua alta sede”"
" E' poi ridisse: ""Tuo cuor non sospetti"," Il santo ignorante e il diavolo logico Francesco d’Assisi venne poi, come io fui morto, per prendere la mia anima; ma uno dei neri cherubini disse: “Non portarmelo via: non farmi torto"
" finor t'assolvo, e tu m'insegna fare sì come Penestrino in terra getti"," Deve venir giù tra i miei servi, perché diede il consiglio fraudo-lento, e da quel consiglio in poi gli son sempre rima-sto alle spalle, perché non si può assolvere chi non si 6 3 pente, né ci si può pentire e voler insieme peccare, perché la contraddizione non lo permette…”"
" Lo ciel poss'io serrare e diserrare, come tu sai", O me dolente
" però son due le chiavi che 'l mio antecessor non ebbe care""",", come mi riscossi quando mi prese di-cendomi: “Forse tu non pensavi che io fossi un demonio logi-co?"
" Allor mi pinser li argomenti gravi là 've 'l tacer mi fu avviso 'l peggio, e dissi: ""Padre, da che tu mi lavi di quel peccato ov'io mo cader deggio, lunga promessa con l'attender corto ti farà trïunfar ne l'alto seggio""","” Mi portò da Minosse, e quello attorcigliò otto volte la coda al dorso impietoso; e, dopo che per la gran rabbia di soddisfazione se la morse, disse: “Costui deve andare tra i malvagi avvolti nel fuo-co”"
" Francesco venne poi, com'io fu' morto, per me"," Perciò io qui, dove vedi, sono perduto e, così avvol-to nella fiamma, mi dolgo andando in giro per la bolgia"
" ma un d'i neri cherubini li disse: ""Non portar","» Quando egli ebbe finito di parlare, la fiamma stra-ziata dal dolore si allontanò, torcendo e agitando la punta aguzza"
 non mi far torto," Noi passammo oltre, io e la mia gui-da, su per lo scoglio fino all’altro arco che copre la bolgia, nella quale pagano il fio coloro che, provo-cando divisioni, si acquistano il carico di colpa e di pena"
" Venir se ne dee giù tra ' miei meschini perché diede 'l consiglio frodolente, dal quale in qua stato li sono a' crini",
