Original,Translate_IT_1
"Al fine de le sue parole il ladro le mani alzò con amendue le fiche, gridando: “Togli, Dio, ch'a te le squadro","Alla fine delle sue parole il ladro alzò le mani fa-cendo il segno delle fiche e gridando: «Prendi, o Dio, poiché le rivolgo a te"
”,"» Da quel momento in poi le serpi mi furono amiche, perché una gli si avvolse intorno al collo come se dicesse: «Non voglio che tu parli di più"
" Da indi in qua mi fuor le serpi amiche, perch'una li s'avvolse allora al collo, come dicesse 'Non vo' che più diche'","» Un’altra lo avvolse intorno alle braccia, facendo più spire e congiungendo capo e coda sul ventre, tanto che non poteva fare più alcun movimento"
" e un'altra a le braccia, e rilegollo, ribadendo sé stessa sì dinanzi, che non potea con esse dare un crollo"," Ahimè, o Pistoia, o Pistoia, perché non decidi di in-cenerirti e di scomparire nel nulla, poiché con le tue malefatte superi i tuoi progenitori? In tutti i cerchi oscuri dell’inferno non vidi uno spi-rito tanto superbo contro Dio, neppure quello che cadde giù dalle mura di Tebe (=Capanèo)"
" Ahi Pistoia, Pistoia, ché non stanzi d'incenerarti sì che più non duri, poi che 'n mal fare il seme tuo avanzi? Per tutt'i cerchi de lo 'nferno scuri non vidi spirto in Dio tanto superbo, non quel che cadde a Tebe giù da' muri", Poi il dannato fuggì via senza dire altro
 El si fuggì che non parlò più verbo," Il centauro Caco Io vidi arrivare subito un centauro furioso che lo chiamava: «Dov’è, dov’è quell’empio?» Io non credo che la Maremma abbia tante bisce quante egli ne aveva su per la groppa, fino al punto in cui inizia il nostro volto"
" e io vidi un centauro pien di rabbia venir chiamando: “Ov'è, ov'è l'acerbo?”"," Sulle spalle, dietro la nuca, con le ali aperte era appollaiato un drago, che bruciava tutto ciò che incontrava"
" Maremma non cred'io che tante n'abbia, quante bisce elli avea su per la groppa infin ove comincia nostra labbia"," Il mio maestro disse: «Costui è Caco, e sotto la rupe del colle Aventino fece spesso un lago di sangue uccidendo viandanti"
" Sovra le spalle, dietro da la coppa, con l'ali aperte li giacea un draco"," Non va lungo la riva con gli altri fratelli centauri per un furto che con la frode fece ai danni della grande mandria di Ercole, quando la ebbe a portata di ma-no"
 e quello affuoca qualunque s'intoppa," Perciò le sue azioni delittuose cessarono sotto la mazza di Ercole, che forse gli diede cento colpi ma egli non sentì il decimo»"
" Lo mio maestro disse: “Questi è Caco, che, sotto 'l sasso di monte Aventino, di sangue fece spesse volte laco"," La trasformazione di Cianfa Donati e di Agnolo Brunelleschi Mentre parlava così e il centauro si allontanava, tre spiriti vennero sotto di noi"
" Non va co' suoi fratei per un cammino, per lo furto che frodolente fece del grande armento ch'elli ebbe a vicino"," Nessuno di noi due se ne accorse, se non quando gridarono: «Voi chi siete?» Perciò interrompemmo il discorso e prestammo loro attenzione"
" onde cessar le sue opere biece sotto la mazza d'Ercule, che forse gliene diè cento, e non sentì le diece”"," Io non li riconoscevo, ma poi accadde, come di solito accade per caso, che un dannato do-vette chiamare l’altro per nome, dicendo: «Dove sarà rimasto Cianfa Donati?» Perciò io mi posi l’indice dritto sulle labbra, affin-ché il mio maestro stesse attento"
" Mentre che sì parlava, ed el trascorse, e tre spiriti venner sotto noi, de' quai né io né 'l duca mio s'accorse, se non quando gridar: “Chi siete voi?”"," Se ora, o lettore, tu sei lento a credere ciò che dirò, non ci sarà da me-ravigliarsi, poiché ci credo a fatica io che lo vidi"
" per che nostra novella si ristette, e intendemmo pur ad essi poi"," Mentre tenevo gli occhi puntati su di loro, un lucer-tolone a sei piedi (=Cianfa Donati) si lanciò addosso ad uno di loro (=Agnolo Brunelleschi) e lo avvolse completamente nelle sue spire"
 Io non li conoscea," Con i piedi centrali gli avvolse la pancia, con i piedi anteriori gli prese le braccia"
" ma ei seguette, come suol seguitar per alcun caso, che l'un nomar un altro convenette, dicendo: “Cianfa dove fia rimaso?”", Poi gli addentò l’una e l’altra guancia
" per ch'io, acciò che 'l duca stesse attento, mi puosi 'l dito su dal mento al naso"," Distese i piedi posteriori sulle cosce, gli mise la co-da tra l’una e l’altra e la fece salire su per le reni"
" Se tu se' or, lettore, a creder lento ciò ch'io dirò, non sarà maraviglia, ché io che 'l vidi, a pena il mi consento", L’edera non si abbarbicò mai a un albero come l’or-ribile serpente avviticchiò le sue membra a quelle del dannato
" Com'io tenea levate in lor le ciglia, e un serpente con sei piè si lancia dinanzi a l'uno, e tutto a lui s'appiglia"," Poi si incollarono l’uno all’altro, come se fossero stati di cera fusa, e mischiarono il loro co-lore"
 Co' piè di mezzo li avvinse la pancia e con li anterïor le braccia prese," Né l’uno né l’altro appariva più quello che era prima, proprio come, per una carta bianca, dalla fiamma procede verso l’alto un colore bruno che non è ancora nero e non è più bianco"
 poi li addentò e l'una e l'altra guancia," Gli altri due guar-davano e ognuno gridava: «Ahimè, o Agnolo Brunelleschi, come ti trasformi"
" li diretani a le cosce distese, e miseli la coda tra 'mbedue e dietro per le ren sù la ritese", Vedi che ormai non sei né due individui né uno
" Ellera abbarbicata mai non fue ad alber sì, come l'orribil fiera per l'altrui membra avviticchiò le sue","» Le due teste erano diventate una sola, quando ci ap-parvero le due figure mescolate in una faccia, dove i due volti si erano fusi"
" Poi s'appiccar, come di calda cera fossero stati, e mischiar lor colore, né l'un né l'altro già parea quel ch'era: come procede innanzi da l'ardore, per lo papiro suso, un color bruno che non è nero ancora e 'l bianco more", Le quattro membra si fecero due braccia
" Li altri due 'l riguardavano, e ciascuno gridava: “Omè, Agnel, come ti muti"," Le cosce, le gambe, il ventre e il petto divennero membra che non si furono mai viste"
 Vedi che già non se' né due né uno”, Ogni aspetto iniziale era ormai cancellato: l’orribile im-magine assomigliava a tutti e due e a nessuno dei due
" Già eran li due capi un divenuti, quando n'apparver due figure miste in una faccia, ov'eran due perduti", E con questo aspetto se ne andò a passo lento
