Original,Translate_IT_1
“ verso di noi,"«I vessilli del re dell’Inferno avanzano verso di noi, perciò guarda avanti» disse il mio maestro, «per ve-dere se riesci a distinguerlo in questa oscurità"
" però dinanzi mira”, disse 'l maestro mio, “se tu 'l discerni”","» Come quando una grossa nebbia si leva o quando nel nostro emisfero si fa notte, appare in lontananza un mulino che il vento fa girare, allora mi parve di ve-dere un tale ordigno"
" Come quando una grossa nebbia spira, o quando l'emisperio nostro annotta, par di lungi un molin che 'l vento gira, veder mi parve un tal dificio allotta"," Poi per il vento mi strinsi die-tro alla mia guida, perché non vi era altro riparo"
" poi per lo vento mi ristrinsi retro al duca mio, ché non lì era altra grotta", Giudecca e i traditori dei benefattori Già ero - e con paura lo metto in versi - là dove le ombre dei dannati erano tutte coperte dal ghiaccio e trasparivano come pagliuzze nel vetro
" Già era, e con paura il metto in metro, là dove l'ombre tutte eran coperte, e trasparien come festuca in vetro"," Alcune sono distese; altre stanno dritte, ora con il capo ora con le piante dei piedi; altre, come un arco, piegano il vol-to verso i piedi"
 Altre sono a giacere," L’incontro con Lucifero Quando ci fummo fatti tanto avanti che al mio mae-stro piacque di mostrarmi la creatura che ebbe belle sembianze, mi si tolse davanti e mi fece fermare, di-cendo: «Ecco Lucifero ed ecco il luogo dove conviene che ti armi di coraggio"
" altre stanno erte, quella col capo e quella con le piante","» Come io divenni raggelato per la paura e con la vo-ce fioca, non domandarmi, o lettore; ed io non te lo descrivo perché le parole sarebbero inadeguate"
" altra, com'arco, il volto a' piè rinverte"," Io non morii e non rimasi vivo: pensa da parte tua, se hai un po’ d’ingegno, come io divenni, privo di vita e privo di morte"
" Quando noi fummo fatti tanto avante, ch'al mio maestro piacque di mostrarmi la creatura ch'ebbe il bel sembiante, d'innanzi mi si tolse e fé restarmi, “Ecco Dite”, dicendo, “ed ecco il loco ove convien che di fortezza t'armi”", L’imperatore del doloroso regno da metà del petto usciva fuori della ghiacciaia: io mi avvicinavo a un gigante più di quanto i giganti non facciano con le sue braccia
" Com'io divenni allor gelato e fioco, nol dimandar, lettor, ch'i' non lo scrivo, però ch'ogne parlar sarebbe poco"," Vedi dunque quanto dev’essere alto l’intero corpo, per adattarsi a tali braccia"
 Io non mori' e non rimasi vivo," Se egli fu così bello come ora è brutto e se contro il suo creato-re si ribellò, deve ben procedere da lui ogni male"
" pensa oggimai per te, s'hai fior d'ingegno, qual io divenni, d'uno e d'altro privo"," Oh quanto grande meraviglia apparve a me, quando io vidi tre facce alla sua testa"
 Lo 'mperador del doloroso regno da mezzo 'l petto uscia fuor de la ghiaccia," Una era davanti ed era rossa, esprimeva l’odio; le altre due si aggiunge-vano a questa sopra la metà di ciascuna spalla e si congiungevano dietro, al posto della cresta"
" e più con un gigante io mi convegno, che i giganti non fan con le sue braccia: vedi oggimai quant'esser dee quel tutto ch'a così fatta parte si confaccia"," La fac-cia di destra appariva di un colore tra il bianco e il giallo, esprimeva l’impotenza"
" S'el fu sì bel com'elli è ora brutto, e contra 'l suo fattore alzò le ciglia, ben dee da lui procedere ogne lutto"," Quella di sinistra as-somigliava a coloro che vengono da quella regione, l’Etiopia, da cui il Nilo scende a valle, esprimeva l’ignoranza"
 Oh quanto parve a me gran maraviglia quand'io vidi tre facce a la sua testa," Sotto ciascuna testa uscivano due grandi ali, quanto era conveniente ad un uccello così grande: sul mare io non vidi mai vele così enormi"
" L'una dinanzi, e quella era vermiglia"," Esse non avevano penne, ma erano come quelle di pipistrello"
" l'altr'eran due, che s'aggiugnieno a questa sovresso 'l mezzo di ciascuna spalla, e sé giugnieno al loco de la cresta: e la destra parea tra bianca e gialla", E agita-va quelle ali in modo tale che tre venti si muoveva-no da lui: per questo motivo il lago di Cocìto era tutto gelato
" la sinistra a vedere era tal, quali vegnon di là onde 'l Nilo s'avvalla", Con sei occhi piangeva e per tre menti gocciolava il pianto e la bava sanguinosa
" Sotto ciascuna uscivan due grand'ali, quanto si convenia a tanto uccello: vele di mar non vid'io mai cotali"," Giuda, traditore di Gesù Cristo, e Bruto e Cassio, traditori dell’impero Da ogni bocca schiacciava con i denti un peccatore come una gràmola, così che tre ne faceva dolenti"
" Non avean penne, ma di vispistrello era lor modo"," Per quello davanti il mordere di Lucifero era nulla rispetto al graffiare, tanto che talvolta la schiena ri-maneva tutta priva della pelle"
" e quelle svolazzava, sì che tre venti si movean da ello: quindi Cocito tutto s'aggelava"," «Quell’anima lassù, che ha la pena maggiore» disse il maestro, «è Giuda Iscariota, che ha il capo dentro la bocca e dimena le gambe fuori"
" Con sei occhi piangëa, e per tre menti gocciava 'l pianto e sanguinosa bava"," Degli altri due, che pendono con il capo fuori, quel che pende dalla faccia nera è Giunio Bruto - vedi come si contorce e non fa parola"
" Da ogne bocca dirompea co' denti un peccatore, a guisa di maciulla, sì che tre ne facea così dolenti"," -; l’altro è Cassio Longino, che appa-re così tarchiato… Ma la notte ritorna sulla Terra e ormai si deve parti-re, perché abbiamo visto tutto qui nell’inferno"
" A quel dinanzi il mordere era nulla verso 'l graffiar, che talvolta la schiena rimanea de la pelle tutta brulla","» Dante e Virgilio si rovesciano e salgono Come a lui piacque, io mi avvinghiai al suo collo"
" “Quell'anima là sù c'ha maggior pena”, disse 'l maestro, “è Giuda Scarïotto, che 'l capo ha dentro e fuor le gambe mena"," Egli prese il tempo e il luogo opportuni e, quando le ali furono assai aperte, si appigliò alle coste villose"
" De li altri due c'hanno il capo di sotto, quel che pende dal nero ceffo è Bruto: vedi come si storce, e non fa motto", Poi di vello in vello discese giù tra il folto pelo e le croste di ghiaccio
," Quando noi fummo là dove la co-scia si piega, al punto che si trova sulla sporgenza delle anche, la mia guida, con fatica e con angoscia, volse la testa dove aveva le gambe e si capovolse, poi si aggrappò al pelo come un uomo che sale, tan-to che io credevo di ritornare ancora nell’inferno"
" e l'altro è Cassio, che par sì membruto"," «Tiènti ben stretto al mio collo, perché per tali sca-le» disse il maestro ansando come un uomo affatica-to, «conviene che ci si allontani da tanto male"
" Ma la notte risurge, e oramai è da partir, ché tutto avem veduto”",
" Com'a lui piacque, il collo li avvinghiai",
" ed el prese di tempo e loco poste, e quando l'ali fuoro aperte assai, appigliò sé a le vellute coste","» Poi uscì fuori per il fóro di una roccia e mi depose sull’orlo di quell’apertura a sedere, quindi diresse verso di me il passo accorto"
 di vello in vello giù discese poscia tra 'l folto pelo e le gelate croste, Io levai gli occhi poi-ché credevo di veder Lucifero come l’avevo lascia-to; invece gli vidi tenere le gambe in su
" Quando noi fummo là dove la coscia si volge, a punto in sul grosso de l'anche, lo duca, con fatica e con angoscia, volse la testa ov'elli avea le zanche, e aggrappossi al pel com'om che sale, sì che 'n inferno i' credea tornar anche"," Se io di-venni allora tutto agitato e confuso, lo pensi la gente ignorante, la quale non comprende qual è quel punto - il centro della terra - che io avevo attraversato"
" “Attienti ben, ché per cotali scale”, disse 'l maestro, ansando com'uom lasso, “conviensi dipartir da tanto male”"," «Lèvati su in piedi» disse il maestro, «la via è lunga e il cammino è in salita, e già il Sole ritorna a mezza ora terza (=7"
 Poi uscì fuor per lo fóro d'un sasso e puose me in su l'orlo a sedere,30)
 appresso porse a me l'accorto passo,"» Non era una sala di palazzo il luogo dove eravamo, ma una grotta naturale che aveva il suolo ineguale e che mancava di luce"
" Io levai li occhi e credetti vedere Lucifero com'io l'avea lasciato, e vidili le gambe in sù tenere"," Il centro della Terra «Prima che io mi distacchi dall’abisso, o maestro mio» dissi quando fui dritto in piedi, «pàrlami un poco, per trarmi da un dubbio: dov’è la ghiacciaia? e come mai Lucifero è conficcato così sottosopra? e come, in così poco tempo, il Sole ha fatto il tragitto dalla sera alla mattina?» Ed egli a me: «Tu immagini ancora di essere di là dal centro della Terra, dove io mi aggrappai al vello del verme mal-vagio che perfora il mondo"
