Filename,Original,Translate
trad_divina_commedia_paradiso_2_1.csv,La gloria di colui che tutto move,La gloria di Colui che muove ogni cosa
trad_divina_commedia_paradiso_2_1.csv,"per l'universo penetra, e risplende",permea l'universo ma brilla
trad_divina_commedia_paradiso_2_1.csv,in una parte più e meno altrove.,in una parte di più e in un'altra di meno.
trad_divina_commedia_paradiso_2_1.csv,Nel ciel che più de la sua luce prende,Ero nel cielo che riceve
trad_divina_commedia_paradiso_2_1.csv,"fu' io, e vidi cose che ridire",più della sua luce; e ho visto cose che egli
trad_divina_commedia_paradiso_2_1.csv,né sa né può chi di là sù discende;,"che da quell'altezza scende, dimentica o può"
trad_divina_commedia_paradiso_2_1.csv,"perché appressando sé al suo disire,","non parlare, perché si avvicina alla sua fine desiderata,"
trad_divina_commedia_paradiso_2_1.csv,"nostro intelletto si profonda tanto,",il nostro intelletto affonda in un abisso
trad_divina_commedia_paradiso_2_1.csv,che dietro la memoria non può ire.,così profonda che la memoria non riesce a seguirla.
trad_divina_commedia_paradiso_2_1.csv,Veramente quant'io del regno santo,"Tuttavia, per quanto io, all'interno"
trad_divina_commedia_paradiso_2_1.csv,"ne la mia mente potei far tesoro,","la mia mente, potrebbe tesoro del regno santo"
trad_divina_commedia_paradiso_2_1.csv,sarà ora materia del mio canto.,ora diventera' la questione della mia canzone.
trad_divina_commedia_paradiso_2_1.csv,"O buono Appollo, a l'ultimo lavoro","O buon Apollo, per questo compito finale"
trad_divina_commedia_paradiso_2_1.csv,"fammi del tuo valor sì fatto vaso,","fa' di me il vaso della tua eccellenza,"
trad_divina_commedia_paradiso_2_1.csv,come dimandi a dar l'amato alloro.,"quello che tu, per meritare il tuo alloro amato, chiedi."
trad_divina_commedia_paradiso_2_1.csv,Infino a qui l'un giogo di Parnaso,"Fino a questo punto, una delle vette di Parnassus"
trad_divina_commedia_paradiso_2_1.csv,assai mi fu; ma or con amendue,"bastava per me, ma ora affronto la prova,"
trad_divina_commedia_paradiso_2_1.csv,m'è uopo intrar ne l'aringo rimaso.,l'ago che rimane; ho bisogno di entrambe le creste.
trad_divina_commedia_paradiso_2_1.csv,"Entra nel petto mio, e spira tue","Entra nel mio petto, respira dentro di me"
trad_divina_commedia_paradiso_2_1.csv,sì come quando Marsïa traesti,lo stesso potere che hai reso manifesto
trad_divina_commedia_paradiso_2_1.csv,de la vagina de le membra sue.,quando hai tirato fuori Marsyas dal fodero delle sue membra.
trad_divina_commedia_paradiso_2_1.csv,"O divina virtù, se mi ti presti","O forza divina, se così ti presti"
trad_divina_commedia_paradiso_2_1.csv,tanto che l'ombra del beato regno,"a me, per mostrare l'ombra di"
trad_divina_commedia_paradiso_2_1.csv,"segnata nel mio capo io manifesti,","il regno benedetto iscritto nella mia mente,"
trad_divina_commedia_paradiso_2_1.csv,vedra'mi al piè del tuo diletto legno,allora mi vedresti sotto l'albero
trad_divina_commedia_paradiso_2_1.csv,"venire, e coronarmi de le foglie",tu ami; là io prenderò come corona le foglie
trad_divina_commedia_paradiso_2_1.csv,che la materia e tu mi farai degno.,di cui il mio tema e voi mi renderete degno.
trad_divina_commedia_paradiso_2_1.csv,"Sì rade volte, padre, se ne coglie","Così raramente, padre, sono quelle ghirlande raccolte"
trad_divina_commedia_paradiso_2_1.csv,"per trïunfare o cesare o poeta,",per il trionfo di un sovrano o di un poeta
trad_divina_commedia_paradiso_2_1.csv,"colpa e vergogna de l'umane voglie,","un segno di colpa o vergogna nei testamenti umani,"
trad_divina_commedia_paradiso_2_1.csv,che parturir letizia in su la lieta,che quando i rami di Peneian possono incitare
trad_divina_commedia_paradiso_2_1.csv,delfica deïtà dovria la fronda,"qualcuno a lungo e sete di loro, delizia"
trad_divina_commedia_paradiso_2_1.csv,"peneia, quando alcun di sé asseta.",deve riempire la felice divinità Delphic.
trad_divina_commedia_paradiso_2_1.csv,Poca favilla gran fiamma seconda:,Grande fuoco può seguire una piccola scintilla: ci può
trad_divina_commedia_paradiso_2_1.csv,forse di retro a me con miglior voci,essere voci migliori dopo di me a pregare
trad_divina_commedia_paradiso_2_1.csv,si pregherà perché Cirra risponda.,"al dio di Cyrrha in cerca di aiuto, che egli possa rispondere."
trad_divina_commedia_paradiso_2_1.csv,Surge ai mortali per diverse foci,La lanterna del mondo si avvicina ai mortali
trad_divina_commedia_paradiso_2_1.csv,la lucerna del mondo; ma da quella,da sentieri diversi; ma su quella via che collega
trad_divina_commedia_paradiso_2_1.csv,"che quattro cerchi giugne con tre croci,","quattro cerchi con tre croci, emerge"
trad_divina_commedia_paradiso_2_1.csv,con miglior corso e con migliore stella,unita ad una migliore costellazione e
trad_divina_commedia_paradiso_2_1.csv,"esce congiunta, e la mondana cera","lungo un corso migliore, e può temperare"
trad_divina_commedia_paradiso_2_1.csv,più a suo modo tempera e suggella.,e timbrare la cera del mondo più a modo suo.
trad_divina_commedia_paradiso_2_1.csv,Fatto avea di là mane e di qua sera,Il suo ingresso da quel punto dell'orizzonte
trad_divina_commedia_paradiso_2_1.csv,"tal foce, e quasi tutto era là bianco",portato mattina e sera qui; quasi
trad_divina_commedia_paradiso_2_1.csv,"quello emisperio, e l'altra parte nera,","tutto quell'emisfero era bianco, mentre il nostro"
trad_divina_commedia_paradiso_2_1.csv,quando Beatrice in sul sinistro fianco,era buio quando vidi Beatrice girarsi
trad_divina_commedia_paradiso_2_1.csv,vidi rivolta e riguardar nel sole:,"e se ne andò, perché vedesse il sole; nessuna aquila"
trad_divina_commedia_paradiso_2_1.csv,aguglia sì non li s'affisse unquanco.,L'ha sempre guardata cosi' costantemente.
trad_divina_commedia_paradiso_2_1.csv,E sì come secondo raggio suole,E come un secondo raggio emetterà da
trad_divina_commedia_paradiso_2_1.csv,"uscir del primo e risalire in suso,","il primo e risorgere, come un pellegrino"
trad_divina_commedia_paradiso_2_1.csv,"pur come pelegrin che tornar vuole,","che cerca di nuovo la sua casa, così sulla sua azione,"
trad_divina_commedia_paradiso_2_1.csv,"così de l'atto suo, per li occhi infuso","nutrito dai miei occhi alla mia immaginazione,"
trad_divina_commedia_paradiso_2_1.csv,"ne l'imagine mia, il mio si fece,","la mia azione ha disegnato, e sul sole ho tramontato"
trad_divina_commedia_paradiso_2_1.csv,e fissi li occhi al sole oltre nostr'uso.,la mia vista piu' di quanto facciamo di solito.
trad_divina_commedia_paradiso_2_1.csv,"Molto è licito là, che qui non lece",Più è permesso ai nostri poteri lì
trad_divina_commedia_paradiso_2_1.csv,"a le nostre virtù, mercé del loco","che è permesso qui, in virtù di"
trad_divina_commedia_paradiso_2_1.csv,fatto per proprio de l'umana spece.,"quel luogo, fatto per l'umanità come sua vera dimora."
trad_divina_commedia_paradiso_2_1.csv,"Io nol soffersi molto, né sì poco,","Non l'ho sopportato a lungo, ma non così brevemente"
trad_divina_commedia_paradiso_2_1.csv,"ch'io nol vedessi sfavillar dintorno,","per non vederlo scintillare intorno,"
trad_divina_commedia_paradiso_2_1.csv,com' ferro che bogliente esce del foco;,come il ferro fuso che emerge dal fuoco;
trad_divina_commedia_paradiso_2_1.csv,e di sùbito parve giorno a giorno,e all'improvviso sembrava che quel giorno fosse stato
trad_divina_commedia_paradiso_2_1.csv,"essere aggiunto, come quei che puote","aggiunto al giorno, come se Colui che può"
trad_divina_commedia_paradiso_2_1.csv,avesse il ciel d'un altro sole addorno.,aveva abbellito il cielo con un secondo sole.
trad_divina_commedia_paradiso_2_1.csv,Beatrice tutta ne l'etterne rote,Gli occhi di Beatrice erano tutti intenti
trad_divina_commedia_paradiso_2_1.csv,fissa con li occhi stava; e io in lei,"sui cerchi eterni; dal sole,"
trad_divina_commedia_paradiso_2_1.csv,"le luci fissi, di là sù rimote.","Mi sono voltato, l'ho guardata."
trad_divina_commedia_paradiso_2_1.csv,"Nel suo aspetto tal dentro mi fei,","Nel guardarla, dentro di me sono stato cambiato"
trad_divina_commedia_paradiso_2_1.csv,qual si fé Glauco nel gustar de l'erba,"come Glauco cambiato, assaggiando l'erba che ha fatto"
