Filename,Original,Translate
trad_divina_commedia_paradiso_4_1.csv,La gloria di colui che tutto move,La gloria di Colui che mette in moto il mondo
trad_divina_commedia_paradiso_4_1.csv,"per l'universo penetra, e risplende","riempie tutto l’universo, ma il suo splendore è tale"
trad_divina_commedia_paradiso_4_1.csv,in una parte più e meno altrove.,"che risplenda più forte o meno, a seconda del luogo."
trad_divina_commedia_paradiso_4_1.csv,Nel ciel che più de la sua luce prende,Salii fino al cielo che prende il suo splendore
trad_divina_commedia_paradiso_4_1.csv,"fu' io, e vidi cose che ridire","la maggior parte, e ho conosciuto delle cose"
trad_divina_commedia_paradiso_4_1.csv,né sa né può chi di là sù discende;,"che non si può né si sa dire tornando da lassù,"
trad_divina_commedia_paradiso_4_1.csv,"perché appressando sé al suo disire,",Avvicinandosi all’oggetto dei suoi desideri
trad_divina_commedia_paradiso_4_1.csv,"nostro intelletto si profonda tanto,",l’intelligenza vi corre e avanza così lontano
trad_divina_commedia_paradiso_4_1.csv,che dietro la memoria non può ire.,Non possiamo seguirla con la nostra memoria.
trad_divina_commedia_paradiso_4_1.csv,Veramente quant'io del regno santo,"Ma tutto quello che ho visto durante questo santo viaggio,"
trad_divina_commedia_paradiso_4_1.csv,"ne la mia mente potei far tesoro,",tutto ciò che ho potuto mettere nel tesoro dello spirito
trad_divina_commedia_paradiso_4_1.csv,sarà ora materia del mio canto.,Ora servirà come materia per il mio canto.
trad_divina_commedia_paradiso_4_1.csv,"O buono Appollo, a l'ultimo lavoro","Rendimi, dolce Apollo, per quest'ultimo lavoro"
trad_divina_commedia_paradiso_4_1.csv,"fammi del tuo valor sì fatto vaso,","un vaso pieno della tua virtù,"
trad_divina_commedia_paradiso_4_1.csv,come dimandi a dar l'amato alloro.,che io sia finalmente degno del tuo alloro amato.
trad_divina_commedia_paradiso_4_1.csv,Infino a qui l'un giogo di Parnaso,Finora ho potuto accontentarmi di uno solo.
trad_divina_commedia_paradiso_4_1.csv,assai mi fu; ma or con amendue,I vertici del Parnaso: ora mi serve
trad_divina_commedia_paradiso_4_1.csv,m'è uopo intrar ne l'aringo rimaso.,"Salire su entrambi, per quest’ultimo percorso."
trad_divina_commedia_paradiso_4_1.csv,"Entra nel petto mio, e spira tue","Penetra nel mio seno, dividimi il tuo respiro,"
trad_divina_commedia_paradiso_4_1.csv,sì come quando Marsïa traesti,come nel giorno in cui il tuo canto ebbe il dono
trad_divina_commedia_paradiso_4_1.csv,de la vagina de le membra sue.,di tirare Marsyas dal fodero dei suoi membri!
trad_divina_commedia_paradiso_4_1.csv,"O divina virtù, se mi ti presti","O divina virtù, consegnati, che io possa"
trad_divina_commedia_paradiso_4_1.csv,tanto che l'ombra del beato regno,"raccontare per lo meno l’ombra del regno felice,"
trad_divina_commedia_paradiso_4_1.csv,"segnata nel mio capo io manifesti,",come lo portai impresso nella mia memoria;
trad_divina_commedia_paradiso_4_1.csv,vedra'mi al piè del tuo diletto legno,Mi vedrai salire sull'albero diletto
trad_divina_commedia_paradiso_4_1.csv,"venire, e coronarmi de le foglie","e far coronare la mia fronte con il suo fogliame,"
trad_divina_commedia_paradiso_4_1.csv,che la materia e tu mi farai degno.,Il tema e il tuo concorso mi hanno reso degno.
trad_divina_commedia_paradiso_4_1.csv,"Sì rade volte, padre, se ne coglie","Possiamo coglierlo così poco, o padre,"
trad_divina_commedia_paradiso_4_1.csv,"per trïunfare o cesare o poeta,","per celebrare un Cesare, di un poeta la gloria"
trad_divina_commedia_paradiso_4_1.csv,"colpa e vergogna de l'umane voglie,","(Questa è la passione, l’obbrobrio e il riscatto)."
trad_divina_commedia_paradiso_4_1.csv,che parturir letizia in su la lieta,che l'albero penieno e le sue foglie dovrebbero
trad_divina_commedia_paradiso_4_1.csv,delfica deïtà dovria la fronda,"inondare di piacere il cuore del dio di Delfi,"
trad_divina_commedia_paradiso_4_1.csv,"peneia, quando alcun di sé asseta.",Ogni volta che abbiamo cura di vincerli.
trad_divina_commedia_paradiso_4_1.csv,Poca favilla gran fiamma seconda:,La piccola scintilla accende il grande fuoco;
trad_divina_commedia_paradiso_4_1.csv,forse di retro a me con miglior voci,"e forse qualcuno, con una voce più abile,"
trad_divina_commedia_paradiso_4_1.csv,si pregherà perché Cirra risponda.,"Va' a pregare dopo di me, cosi' Cyrrha rispondera'."
trad_divina_commedia_paradiso_4_1.csv,Surge ai mortali per diverse foci,L’astro del giorno si alza agli occhi dei mortali
trad_divina_commedia_paradiso_4_1.csv,la lucerna del mondo; ma da quella,su più di un orizzonte; ma ne è uno solo
trad_divina_commedia_paradiso_4_1.csv,"che quattro cerchi giugne con tre croci,","a cui si vedono tre croci che escono dai quattro cerchi,"
trad_divina_commedia_paradiso_4_1.csv,con miglior corso e con migliore stella,"dove il suo splendore risplende sotto migliori auspici,"
trad_divina_commedia_paradiso_4_1.csv,"esce congiunta, e la mondana cera","seguendo un corso migliore, che dispone e modello"
trad_divina_commedia_paradiso_4_1.csv,più a suo modo tempera e suggella.,più alla sua volontà la materia del mondo.
trad_divina_commedia_paradiso_4_1.csv,Fatto avea di là mane e di qua sera,"E’ proprio questo il punto che, facendo questo il giorno,"
trad_divina_commedia_paradiso_4_1.csv,"tal foce, e quasi tutto era là bianco",portava a casa nostra di notte; e in questo emisfero
trad_divina_commedia_paradiso_4_1.csv,"quello emisperio, e l'altra parte nera,","tutto si vestiva di bianco e di nero nel nostro,"
trad_divina_commedia_paradiso_4_1.csv,quando Beatrice in sul sinistro fianco,quando ho visto che ha fatto un giro a sinistra
trad_divina_commedia_paradiso_4_1.csv,vidi rivolta e riguardar nel sole:,"Beatrice rivolse lo sguardo al sole,"
trad_divina_commedia_paradiso_4_1.csv,aguglia sì non li s'affisse unquanco.,Molto più intensamente di quanto possa fare un’aquila.
trad_divina_commedia_paradiso_4_1.csv,E sì come secondo raggio suole,Come si vede sgorgare da un raggio di luce
trad_divina_commedia_paradiso_4_1.csv,"uscir del primo e risalire in suso,","un raggio riflesso che sale verso l'alto,"
trad_divina_commedia_paradiso_4_1.csv,"pur come pelegrin che tornar vuole,","come il pellegrino che torna a casa,"
trad_divina_commedia_paradiso_4_1.csv,"così de l'atto suo, per li occhi infuso","Allo stesso modo, il mio mantenimento riproduce il suo,"
trad_divina_commedia_paradiso_4_1.csv,"ne l'imagine mia, il mio si fece,","come nella mia mente entrava con la vista,"
trad_divina_commedia_paradiso_4_1.csv,e fissi li occhi al sole oltre nostr'uso.,Io fissai il sole con uno sguardo più che umano.
trad_divina_commedia_paradiso_4_1.csv,"Molto è licito là, che qui non lece","Molte cose, lassù, che non sono permesse"
trad_divina_commedia_paradiso_4_1.csv,"a le nostre virtù, mercé del loco","alla nostra facoltà, diventano naturali"
trad_divina_commedia_paradiso_4_1.csv,fatto per proprio de l'umana spece.,per la virtù del luogo concepito per il nostro bene.
trad_divina_commedia_paradiso_4_1.csv,"Io nol soffersi molto, né sì poco,","Ne soffrivo male l’aspetto, ma abbastanza comunque"
trad_divina_commedia_paradiso_4_1.csv,"ch'io nol vedessi sfavillar dintorno,",per vedere scintillare le schegge che lanciava
trad_divina_commedia_paradiso_4_1.csv,com' ferro che bogliente esce del foco;,come il ferro ardente che si esce dalla fornace.
trad_divina_commedia_paradiso_4_1.csv,e di sùbito parve giorno a giorno,"Si sarebbe detto che il giorno moltiplicava il giorno,"
trad_divina_commedia_paradiso_4_1.csv,"essere aggiunto, come quei che puote",Come se all’improvviso colui che può fare tutto
trad_divina_commedia_paradiso_4_1.csv,avesse il ciel d'un altro sole addorno.,Aveva messo sul cielo due soli alla volta.
trad_divina_commedia_paradiso_4_1.csv,Beatrice tutta ne l'etterne rote,Beatrice rimase tutta legata
trad_divina_commedia_paradiso_4_1.csv,fissa con li occhi stava; e io in lei,"con il suo sguardo intenso alle sfere eterne,"
trad_divina_commedia_paradiso_4_1.csv,"le luci fissi, di là sù rimote.","e io, staccandola, lo posavo su di lei"
trad_divina_commedia_paradiso_4_1.csv,"Nel suo aspetto tal dentro mi fei,","e, contemplandola, diventai in me stesso"
trad_divina_commedia_paradiso_4_1.csv,qual si fé Glauco nel gustar de l'erba,"come divenne Glauco, quando ebbe assaggiato l'erba"
trad_divina_commedia_paradiso_4_1.csv,che 'l fé consorto in mar de li altri dèi.,che lo rendeva uguale agli altri dèi dei mari.
trad_divina_commedia_paradiso_4_1.csv,Trasumanar significar,Tradurre per verba questa metamorfosi
trad_divina_commedia_paradiso_4_1.csv,non si poria; però l'essemplo basti,non sarebbe possibile; e l’esempio deve solo
trad_divina_commedia_paradiso_4_1.csv,a cui esperïenza grazia serba.,basta a chi la grazia un giorno lo insegnerà.
trad_divina_commedia_paradiso_4_1.csv,S'i' era sol di me quel che creasti,"Amore, tu che reggi il cielo e che mi hai fatto"
trad_divina_commedia_paradiso_4_1.csv,"novellamente, amor che 'l ciel governi,","per il tuo effetto, sai se mi resta"
trad_divina_commedia_paradiso_4_1.csv,"tu 'l sai, che col tuo lume mi levasti.","altro da me, che il dono della fine."
trad_divina_commedia_paradiso_4_1.csv,Quando la rota che tu sempiterni,Quando la sfera finalmente si muove più velocemente
trad_divina_commedia_paradiso_4_1.csv,"desiderato, a sé mi fece atteso","con il desiderio di te, ricordò il mio sguardo"
trad_divina_commedia_paradiso_4_1.csv,"con l'armonia che temperi e discerni,","con tutti i suoi accordi che guidi e le regole,"
trad_divina_commedia_paradiso_4_1.csv,parvemi tanto allor del cielo acceso,Vidi incendiare così vaste superfici
trad_divina_commedia_paradiso_4_1.csv,"de la fiamma del sol, che pioggia o fiume","con il fuoco del sole, che non c’è diluvio"
trad_divina_commedia_paradiso_4_1.csv,lago non fece alcun tanto disteso.,o di fiume che potesse fare un lago così grande.
trad_divina_commedia_paradiso_4_1.csv,La novità del suono e 'l grande lume,"Questi accenti sorprendenti, questo immenso splendore"
trad_divina_commedia_paradiso_4_1.csv,di lor cagion m'accesero un disio,"mi infiammavano il desiderio di conoscere la loro causa,"
trad_divina_commedia_paradiso_4_1.csv,mai non sentito di cotanto acume.,come mai prima d’ora non ne avevo di più vivo;
