Filename,Original,Translate
trad_divina_commedia_inferno_1_1.csv,Nel mezzo del cammin di nostra vita,A metà del cammino della nostra vita
trad_divina_commedia_inferno_1_1.csv,"mi ritrovai per una selva oscura,","Mi sono ritrovato in una foresta buia,"
trad_divina_commedia_inferno_1_1.csv,ché la diritta via era smarrita.,Per il percorso semplice era stato perso.
trad_divina_commedia_inferno_1_1.csv,Ahi quanto a dir qual era è cosa dura,Ah me! quanto è difficile una cosa da dire
trad_divina_commedia_inferno_1_1.csv,esta selva selvaggia e aspra e forte,"Cos'era questa foresta selvaggia, ruvida e severa,"
trad_divina_commedia_inferno_1_1.csv,che nel pensier rinova la paura!,Che proprio nel pensiero rinnova la paura.
trad_divina_commedia_inferno_1_1.csv,Tant'è amara che poco è più morte;,"Così amara è, la morte è poco più;"
trad_divina_commedia_inferno_1_1.csv,"ma per trattar del ben ch'i' vi trovai,","Ma del bene da curare, che ho trovato lì,"
trad_divina_commedia_inferno_1_1.csv,dirò de l'altre cose ch'i' v'ho scorte.,Parlami delle altre cose che ho visto li'.
trad_divina_commedia_inferno_1_1.csv,"Io non so ben ridir com'i' v'intrai,","Non posso ripetere come sono entrato lì,"
trad_divina_commedia_inferno_1_1.csv,tant'era pien di sonno a quel punto,Così pieno ero di sonno al momento
trad_divina_commedia_inferno_1_1.csv,che la verace via abbandonai.,In cui avevo abbandonato il vero modo.
trad_divina_commedia_inferno_1_1.csv,"Ma poi ch'i' fui al piè d'un colle giunto,","Ma dopo aver raggiunto un piede di montagna,"
trad_divina_commedia_inferno_1_1.csv,là dove terminava quella valle,"In quel punto in cui la valle si è conclusa,"
trad_divina_commedia_inferno_1_1.csv,"che m'avea di paura il cor compunto,","Che aveva con costernazione trafitto il mio cuore,"
trad_divina_commedia_inferno_1_1.csv,guardai in alto e vidi le sue spalle,"In alto ho guardato, e ho visto le sue spalle,"
trad_divina_commedia_inferno_1_1.csv,vestite già de' raggi del pianeta,Vestito già con i raggi di quel pianeta
trad_divina_commedia_inferno_1_1.csv,che mena dritto altrui per ogne calle.,Il che conduce gli altri proprio vicino ad ogni strada.
trad_divina_commedia_inferno_1_1.csv,"Allor fu la paura un poco queta,",Allora la paura era un po 'tranquilla
trad_divina_commedia_inferno_1_1.csv,che nel lago del cor m'era durata,Che nel lago del mio cuore aveva sopportato per tutto
trad_divina_commedia_inferno_1_1.csv,la notte ch'i' passai con tanta pieta.,"La notte, che avevo passato così pietosamente."
trad_divina_commedia_inferno_1_1.csv,"E come quei che con lena affannata,","E come colui che, con soffio doloroso,"
trad_divina_commedia_inferno_1_1.csv,"uscito fuor del pelago a la riva,","dal mare sulla riva,"
trad_divina_commedia_inferno_1_1.csv,"si volge a l'acqua perigliosa e guata,",si volge verso l'acqua pericolosa e gli sguardi;
trad_divina_commedia_inferno_1_1.csv,"così l'animo mio, ch'ancor fuggiva,","Cosi' come l'anima mia, che continuava a fuggire,"
trad_divina_commedia_inferno_1_1.csv,si volse a retro a rimirar lo passo,Girarsi indietro per ri-behold il passo
trad_divina_commedia_inferno_1_1.csv,che non lasciò già mai persona viva.,Che non ha mai lasciato una persona viva.
