Filename,Original,Translate
trad_divina_commedia_inferno_3_1.csv,Nel mezzo del cammin di nostra vita,A metà strada nel cammino della nostra vita
trad_divina_commedia_inferno_3_1.csv,"mi ritrovai per una selva oscura,","Sono venuto da me stesso in un bosco scuro,"
trad_divina_commedia_inferno_3_1.csv,ché la diritta via era smarrita.,per la via dritta è stato perso.
trad_divina_commedia_inferno_3_1.csv,Ahi quanto a dir qual era è cosa dura,"Ah, quanto è difficile dirlo"
trad_divina_commedia_inferno_3_1.csv,esta selva selvaggia e aspra e forte,"la natura di quel legno, selvaggio, denso e duro..."
trad_divina_commedia_inferno_3_1.csv,che nel pensier rinova la paura!,il pensiero stesso di esso rinnova la mia paura!
trad_divina_commedia_inferno_3_1.csv,Tant'è amara che poco è più morte;,È così amara la morte non è più così.
trad_divina_commedia_inferno_3_1.csv,"ma per trattar del ben ch'i' vi trovai,",Ma per indicare il bene che ho trovato
trad_divina_commedia_inferno_3_1.csv,dirò de l'altre cose ch'i' v'ho scorte.,Racconterò le altre cose che ho visto.
trad_divina_commedia_inferno_3_1.csv,"Io non so ben ridir com'i' v'intrai,","Come sono venuto lì non riesco a dire,"
trad_divina_commedia_inferno_3_1.csv,tant'era pien di sonno a quel punto,Ero cosi' pieno di sonno.
trad_divina_commedia_inferno_3_1.csv,che la verace via abbandonai.,quando ho abbandonato l'unica vera via.
trad_divina_commedia_inferno_3_1.csv,"Ma poi ch'i' fui al piè d'un colle giunto,","Ma quando raggiunsi i piedi di una collina,"
trad_divina_commedia_inferno_3_1.csv,là dove terminava quella valle,là dove la valle è finita
trad_divina_commedia_inferno_3_1.csv,"che m'avea di paura il cor compunto,","che mi aveva trafitto il cuore di paura,"
trad_divina_commedia_inferno_3_1.csv,guardai in alto e vidi le sue spalle,"Guardando in alto, ho visto le sue spalle"
trad_divina_commedia_inferno_3_1.csv,vestite già de' raggi del pianeta,allineato alla prima luce del pianeta
trad_divina_commedia_inferno_3_1.csv,che mena dritto altrui per ogne calle.,"che conduce gli uomini dritti, non importa quale sia la loro strada."
trad_divina_commedia_inferno_3_1.csv,"Allor fu la paura un poco queta,",Poi la paura che aveva sopportato
trad_divina_commedia_inferno_3_1.csv,che nel lago del cor m'era durata,"nel lago del mio cuore, tutta la notte"
trad_divina_commedia_inferno_3_1.csv,la notte ch'i' passai con tanta pieta.,"Ho passato tutto questo tempo in difficoltà, mi sono calmato."
trad_divina_commedia_inferno_3_1.csv,"E come quei che con lena affannata,","E come uno che, con il fiato travagliato,"
trad_divina_commedia_inferno_3_1.csv,"uscito fuor del pelago a la riva,",è fuggito dall'abisso fino alla riva
trad_divina_commedia_inferno_3_1.csv,"si volge a l'acqua perigliosa e guata,","si volta e guarda indietro le acque pericolose,"
trad_divina_commedia_inferno_3_1.csv,"così l'animo mio, ch'ancor fuggiva,","così la mia mente, ancora in volo,"
